unit,archive,bytes,sha256,members,uncompressed_bytes
rico_h60_f0_s42_v1,rico_h60_f0_s42_v1.zip,9570212,cb70448110c8abda2fd8c9c1b03c5a33942f58d5bf6a7cfeb5eca11f992c1aa9,35,10527239
rico_h5_f1_s43_v1,rico_h5_f1_s43_v1.zip,10161196,6867a9b83566ba88667b91ed4672d53b8e3a6e357e5b453f86cf5f35a1403cab,35,10752657
rico_h15_f1_s43_v1,rico_h15_f1_s43_v1.zip,9981244,62f74a3529f80d08b2f774c2bf7f058420d868cceb31a6a1d4521387a60228c2,35,10940325
rico_h30_f1_s43_v1,rico_h30_f1_s43_v1.zip,9258235,c80b63c3b0fac42b2966cf1ad829e1dd7710eec71096f6c4b66ecd14611cbc32,35,10209666
rico_h60_f1_s43_v1,rico_h60_f1_s43_v1.zip,7555797,478b1158d29eaa1c4de70f8bad03d46535475da0c56184dec366a294e2b6e97e,35,8116147
rico_h5_f0_s43_v1,rico_h5_f0_s43_v1.zip,12831975,9ef6e71c6db6c422ed5e4d2609e73dc7f441418a818550125900d581982b7643,35,13863048
rico_h15_f0_s43_v1,rico_h15_f0_s43_v1.zip,11927862,a59af4ccae6e6f8828ae6c120ecc114973112e35169378d85472ad62e53fc498,35,12563018
rico_h30_f0_s43_v1,rico_h30_f0_s43_v1.zip,11024116,dfa3a80cd3fc4b8c1ee1ac1a95f7cd63fca641842344c215d3674ce2c26ddb96,35,11660711
rico_h60_f0_s43_v1,rico_h60_f0_s43_v1.zip,9304244,81ff83883ab1036dfed09e03ca5db20b7b8abdb0a894b7bcf9a15fe1bc83efc7,35,9894164
rico_h5_f1_s44_v1,rico_h5_f1_s44_v1.zip,10180914,02513dad46a4cc6e10618f86457cb463b828f380a30915023c006b2161f6e579,35,10773771
rico_h15_f1_s44_v1,rico_h15_f1_s44_v1.zip,9988441,de6b6caf51a40d13a3f5b1701f082bd93fc337020875c93222b22c94898f3d90,35,10947490
rico_h30_f1_s44_v1,rico_h30_f1_s44_v1.zip,9238035,816ac3bb4e087fbfecb2fe417a9fdae1ff99a8bbed26627d4cd4b6ad77e190e6,35,10191665
rico_h60_f1_s44_v1,rico_h60_f1_s44_v1.zip,7550204,66c291cc81d15562be8874556146b1f1cc78f02b493b131ee438180898a5a6c4,35,8107626
rico_h5_f0_s44_v1,rico_h5_f0_s44_v1.zip,12526655,9bd5bad6acc4680ae53796778a0150c51d48b25fbe6d62b76898f31f765d5d75,35,13165996
rico_h15_f0_s44_v1,rico_h15_f0_s44_v1.zip,11922776,20c2fc0d8b4c3473a2cbed7e6728206775999cea8f19e7d71a06d085fa0bcc4b,35,12553479
rico_h30_f0_s44_v1,rico_h30_f0_s44_v1.zip,11017417,96ee9fe7c3a10e7b9093bc2a155e8cd82f55d230fa306d527284b3052bc6ccc3,35,11657042
rico_h60_f0_s44_v1,rico_h60_f0_s44_v1.zip,9299968,a2149e486a9334eedc36ae9fa8c0439ad195fe39001129bc1eed8aa097ea2fa2,35,9889342
rico_h5_f1_s45_v1,rico_h5_f1_s45_v1.zip,10172598,bde49ef3af99ffa5e28160431832de0eacf037259f50fc4d8728174f0325b7b1,35,10766110
rico_h15_f1_s45_v1,rico_h15_f1_s45_v1.zip,10000950,a5128b12c072929c7dc191e659a4ce99a2e010b14613efeba378bb066085930d,35,10965909
rico_h30_f1_s45_v1,rico_h30_f1_s45_v1.zip,9261346,c4054fc111860e6f2888f7730838269ccea08a7dfcdeaec01ecfdd7b43686378,35,10216007
rico_h60_f1_s45_v1,rico_h60_f1_s45_v1.zip,7532388,8f1a560e9737e652f2b2ed5b757fd14eef46bb6e6c356034fd5cf61d2d4f3cd9,35,8087169
rico_h5_f0_s45_v1,rico_h5_f0_s45_v1.zip,12546963,8ab0d719e6c74cd661a8c7e74cfdcd5be32dd3cba62742909f76dcc6e7c6dd22,35,13184030
