epoch,train_mse,validation_mae
1,0.539424755971881,1.5225602110860998
2,0.1723643453361723,1.2242491510414737
3,0.14962047426369762,1.1709653091970007
4,0.1399504851299304,1.1669497597605212
5,0.1337909933515954,1.1412392678103818
6,0.12765672119115007,1.1105400332391346
7,0.11858878850973006,1.072452299649295
8,0.106609954986096,1.0061569094055953
9,0.09362737634005727,0.9829042976539657
10,0.08449813880671928,0.9525229465020013
11,0.07711166399093715,0.9436666303537177
12,0.07361569160633534,0.9009932672873914
13,0.07226193106504335,0.9124046492302113
14,0.06882023699378466,0.9136313667058512
15,0.0654513330016924,0.9086718968973333
16,0.06353128229899374,0.86809983560712
17,0.06277080732291454,0.8881584270148295
18,0.061059878302737694,0.85850744388051
19,0.06023860559201534,0.8614723604295116
20,0.05876596704489581,0.8318090181499027
21,0.05904071536754098,0.85874917967058
22,0.05830908278381432,0.8449276510380033
23,0.056513086792026664,0.8647883504406416
24,0.05610461382507989,0.8274889201882921
25,0.05514881806908967,0.8388347295769969
26,0.054414948010247204,0.8184826483367261
27,0.0534727899558952,0.8195679995537382
28,0.05236057202997436,0.8216048773455634
29,0.05264561096181101,0.8269860852826509
30,0.05209998820083138,0.8062931179639138
