model,mae,rmse,n,negative_predictions,verified
persistence,0.3915918037751086,0.5655364111359953,9907,0,True
xgboost,3.330021235569101,3.709486005375483,9907,0,True
attention_lstm,3.517059336914789,3.871117317243386,9907,0,True
