role,n,maximum_prediction_difference,owner_sha256
calibration,17350,0.0,3973b651fe0e72c1538e5c8983abadc6ab62a1cd17378bec55df497a908c7504
test,34640,0.0,3973b651fe0e72c1538e5c8983abadc6ab62a1cd17378bec55df497a908c7504
