part,bytes,sha256,members,uncompressed_bytes
core.zip,23686300,bc5a0b7c9caf6e5d0e98cf8be27e0b4fa4caa4a9c2544e79df183097f2c56b8e,142,48157184
contexts_01_08.zip,63930946,d2091a97975614978e1753446d61e2ba1532c5dd06277df05f70959dfcf00167,15057,61738956
contexts_09_16.zip,63107315,c5705364627f51f854a224b38bc28177a5608b81e09f5edf31249705c0b21265,15057,60923893
contexts_17_24.zip,63933086,172437fd1bf01e5def0b891fd8e7b9ca193e4add9d454ce1e7148327a0075ade,15057,61741901
contexts_25_32.zip,63293548,26431b04ef7e359dc06ac4cab159e68f483d3ff6df3ad872c3285ceade17d927,15002,61116376
contexts_33_40.zip,63147194,b3f84446af276c16403707708f630cb9937be2be3028d13cf6dfe8b6a3dd26e1,15222,60938924
contexts_41_48.zip,61752323,b0e21b2af06f3aff4cd9918057c4ff4e8c4dcbf8793af0a1dba10d040e62f1b1,14672,59621962
contexts_49_56.zip,64107981,cbc1e3275b99be4bdfed05f311f66a9748e9d669886b6316416bb8ae96399c57,15002,61925769
contexts_57_64.zip,62518205,6805ae8ed40d5e0d8675c7e938d5c00bc915e8ef12ef108cbe9b7685844ade84,14947,60347648
contexts_65_68.zip,31419972,cca0c77219801d2f0005ff81484699aca372ff35a78a71a42b96f7d4c0de86f9,7611,30317754
