dataset,outer_fold,fit_rows,calibration_rows,outer_rows,original_outer_groups,contexts,scheduled,context_eligible_rows,unused_tail_rows,full_original_asset_days,source_cache_sha256,passed
pleia_energy,0,29716,9907,9909,1,68,2856,9792,117,68.8125,4ba69f2abac5eaa088504b5406a847652baffbe5a35d7dfd288d9a85f7c4e49f,True
pleia_energy,1,22286,7430,9907,1,68,2856,9792,115,68.79861111111111,4ba69f2abac5eaa088504b5406a847652baffbe5a35d7dfd288d9a85f7c4e49f,True
pleia_energy,2,14855,4954,9907,1,68,2856,9792,115,68.79861111111111,4ba69f2abac5eaa088504b5406a847652baffbe5a35d7dfd288d9a85f7c4e49f,True
pleia,0,29716,9907,9907,1,68,2856,9792,115,68.79861111111111,f64cfd7d464b4db0af365ac9a5bc1c09f8abc8c8d5a352ba153caab976810673,True
pleia,1,22286,7430,9907,1,68,2856,9792,115,68.79861111111111,f64cfd7d464b4db0af365ac9a5bc1c09f8abc8c8d5a352ba153caab976810673,True
pleia,2,14855,4954,9907,1,68,2856,9792,115,68.79861111111111,f64cfd7d464b4db0af365ac9a5bc1c09f8abc8c8d5a352ba153caab976810673,True
rico,0,27183,9061,9503,43,43,1806,9503,0,6.5993055555555555,aa203fa6c3598b7e9f128d579797a072f3bd9a2c6aa3940cf62d147aa60a22a4,True
rico,1,20332,6851,9061,41,41,1722,9061,0,6.292361111111111,aa203fa6c3598b7e9f128d579797a072f3bd9a2c6aa3940cf62d147aa60a22a4,True
rico,2,13481,4641,9061,41,41,1722,9061,0,6.292361111111111,aa203fa6c3598b7e9f128d579797a072f3bd9a2c6aa3940cf62d147aa60a22a4,True
