dataset,horizon,level,method,distribution,n,mean,q1,q5,q25,q50,q75,q95,q99
bdg2,1,0.9,cqr,own_test_signed_error,34640,0.8366105674835519,-103.30994461428304,-43.18666796948802,-5.696302067968914,-0.11654220223601008,6.772267144610325,48.444738065469984,111.80620119512517
bdg2,1,0.9,cqr,native_calibration_score,52110,-29.364386436035065,-237.63504624055815,-112.53236255953242,-40.499457928786796,-13.09871202652073,-3.1448342247595953,4.961102030306935,41.33833234496381
bdg2,1,0.95,cqr,own_calibration_signed_error,17370,1.1841127688700146,-97.18199294808504,-44.16264996746625,-6.453077732552483,-0.018932553697595722,7.402806751205844,50.42489342247029,108.16019643435943
bdg2,1,0.95,cqr,own_test_signed_error,34640,0.8366105674835519,-103.30994461428304,-43.18666796948802,-5.696302067968914,-0.11654220223601008,6.772267144610325,48.444738065469984,111.80620119512517
bdg2,1,0.95,cqr,native_calibration_score,52110,-39.508991543618976,-280.82127875412806,-134.7569865740731,-54.41945363552776,-21.606088519738258,-6.207493496436939,0.20428545706200923,27.436734981597812
bdg2,1,0.9,recentred_enbpi_static,own_calibration_signed_error,17370,1.663778864248706,-89.5674052,-38.56482650000002,-13.072472000000001,-6.595217499999986,10.871440000000035,64.30772899999997,135.06013570000056
bdg2,1,0.9,recentred_enbpi_static,own_test_signed_error,34640,-0.010330076732100932,-103.10074070000002,-42.455379999999714,-13.45741,-6.844760000000004,11.906525000000002,57.914636499999936,121.82909560000002
bdg2,1,0.9,recentred_enbpi_static,native_calibration_score,15580,-0.24132755756552665,-92.43310353393558,-39.322720881652835,-14.353766224670405,-7.430308447265617,8.61829605102539,61.06400180867508,119.88802278320296
bdg2,1,0.95,recentred_enbpi_static,own_calibration_signed_error,17370,1.663778864248706,-89.5674052,-38.56482650000002,-13.072472000000001,-6.595217499999986,10.871440000000035,64.30772899999997,135.06013570000056
bdg2,1,0.95,recentred_enbpi_static,own_test_signed_error,34640,-0.010330076732100932,-103.10074070000002,-42.455379999999714,-13.45741,-6.844760000000004,11.906525000000002,57.914636499999936,121.82909560000002
bdg2,1,0.95,recentred_enbpi_static,native_calibration_score,15580,-0.24132755756552665,-92.43310353393558,-39.322720881652835,-14.353766224670405,-7.430308447265617,8.61829605102539,61.06400180867508,119.88802278320296
