horizon,partition,n_rows,n_groups,origin_start,origin_end
1,train,29320,1,2021-01-07 23:50:00,2021-07-30 14:20:00
1,calibration,10109,1,2021-07-30 14:30:00,2021-10-08 19:10:00
1,test,10108,1,2021-10-08 19:20:00,2021-12-17 23:50:00
3,train,29322,1,2021-01-07 23:30:00,2021-07-30 14:20:00
3,calibration,10109,1,2021-07-30 14:30:00,2021-10-08 19:10:00
3,test,10106,1,2021-10-08 19:20:00,2021-12-17 23:30:00
6,train,29325,1,2021-01-07 23:00:00,2021-07-30 14:20:00
6,calibration,10109,1,2021-07-30 14:30:00,2021-10-08 19:10:00
6,test,10103,1,2021-10-08 19:20:00,2021-12-17 23:00:00
