model,mae,rmse,n,negative_predictions,verified
persistence,0.13126135560714647,0.257541502923049,9907,0,True
xgboost,0.12097164125725939,0.22595912463705314,9907,0,True
attention_lstm,0.15876354579007673,0.2585929217543702,9907,0,True
