dataset,horizon,outer_fold,model_seed,source_run,source_hash,protocol_hash,target_units,physical_minutes,actual_exit,point_cells,interval_cells,tuning_fits,final_fits,saved_model_checks,max_absolute_prediction_difference,completed_resume_fits,all_run_files_unchanged,actual_seed_verified,audit,resume
pleia_energy,6,0,43,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f0_s43_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c316ec90721513caed8431e3a8234edc58438bc98095c78d35305dd478233aa6,kWh per 10 minutes,60,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f0_s43_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f0_s43_v1\resume_v1.json
pleia_energy,1,1,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,fa040e5e8c32fadd6392986a0df8dbfd2e99fd2c41fcb16efc018f6301ac5588,kWh per 10 minutes,10,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h1_f1_s44_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h1_f1_s44_v1\resume_v1.json
pleia_energy,3,1,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f1_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,15744cbdf50123bfed771b75586629e0389848d25f4e791833fcffa54aa0932f,kWh per 10 minutes,30,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h3_f1_s44_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h3_f1_s44_v1\resume_v1.json
pleia_energy,6,1,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f1_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,44aa0ec44a099dba2dbd7fec045eed74e79456d849161654051805ea201afed5,kWh per 10 minutes,60,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f1_s44_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f1_s44_v1\resume_v1.json
pleia_energy,1,0,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,1c89ab32cbb43766a72a7fdbf9f5fba751fac2b5a7248e536e812457416857ec,kWh per 10 minutes,10,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h1_f0_s44_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h1_f0_s44_v1\resume_v1.json
pleia_energy,3,0,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,fc08af58fb2aaec38a8c2665c437f882729a6d19f769022d78b9cb06448158c3,kWh per 10 minutes,30,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h3_f0_s44_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h3_f0_s44_v1\resume_v1.json
pleia_energy,6,0,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,beab242517c7fb299c78020e552436a75640da60a4f7760aef5c1def1bdd79cf,kWh per 10 minutes,60,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f0_s44_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f0_s44_v1\resume_v1.json
pleia_energy,1,1,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,e5c1dae79856ba2985e5bf3d1ab459636cebb345a3f6408602b78f90761804ba,kWh per 10 minutes,10,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h1_f1_s45_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h1_f1_s45_v1\resume_v1.json
pleia_energy,3,1,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f1_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,348012fb294a1756ef25f221352a18c83e5173d14ae9c1cdbfe96d8854baf3f0,kWh per 10 minutes,30,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h3_f1_s45_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h3_f1_s45_v1\resume_v1.json
pleia_energy,6,1,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f1_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,e2840eecdc0ab92509276e9c3ddbb386ba860a6883136be8b9f228010a50cac2,kWh per 10 minutes,60,0,3,6,8,2,6,0.0,0,True,True,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f1_s45_v1\audit_v1,C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal\outputs\matched_forecasting005\core_completion_125_v1_coordinator\receipts\pleia_energy_h6_f1_s45_v1\resume_v1.json
