dataset,horizon,model,mae,rmse,coverage90,coverage95,mpiw90,mpiw95,winkler90,winkler95,model_phase_seconds,process_cpu_seconds,physical_minutes,aggregation
bdg2,1,attention_lstm,18.07697963223449,34.117636182371264,0.9035319355004304,0.9521030644766556,92.29245533203122,134.66540776367194,164.1877704509237,220.45416160839136,842.3918835799942,819.9791666666666,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
bdg2,1,persistence,19.338259124121805,39.316230856739104,0.9019536459706111,0.9507314859452102,112.71266666666689,162.5746666666667,195.37890275110692,258.4246799152704,0.019359199999598786,0.019791666666666666,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
bdg2,1,xgboost,17.072197435065245,33.37216577185703,0.9032356342164057,0.950856569395945,89.59412290852866,131.47972335611976,161.69871747622946,217.66180617283976,10.779493913329981,10.098958333333334,60,equal mean of three outer-fold seed means; overlapping folds; descriptive only
bdg2,3,attention_lstm,29.08462197878971,55.09861232937133,0.904523166063521,0.9525431037758579,146.51749796874998,214.23019375,265.3319559743804,360.47694014162835,626.2367649199999,615.1739583333333,180,equal mean of three outer-fold seed means; overlapping folds; descriptive only
bdg2,3,persistence,38.67306878233123,73.72679653995414,0.9069082292458713,0.9516069848980218,243.59666666666692,344.9373333333331,383.1740254890363,484.889562686664,0.01893262666853843,0.020833333333333332,180,equal mean of three outer-fold seed means; overlapping folds; descriptive only
bdg2,3,xgboost,25.837325172221682,49.49149249016392,0.9033257740671766,0.9511616746492927,134.48425363281248,195.4248309440104,240.09442405711036,322.77024370914745,10.145365246661823,9.625,180,equal mean of three outer-fold seed means; overlapping folds; descriptive only
bdg2,6,attention_lstm,36.80689588090549,68.13907525762733,0.9071844369395675,0.9544565316752868,185.1330134765625,269.0408750325521,329.5326123369669,447.61314402090267,464.4713878733373,456.6302083333333,360,equal mean of three outer-fold seed means; overlapping folds; descriptive only
bdg2,6,persistence,65.9484606044339,112.67435422187498,0.906251296529773,0.9510540108933293,401.5353333333334,507.85333333333324,563.9979107030185,685.2628605326163,0.018714906658957867,0.017708333333333333,360,equal mean of three outer-fold seed means; overlapping folds; descriptive only
bdg2,6,xgboost,31.661463024672724,60.713467810299676,0.9039960692835077,0.9516292658372553,164.7250059016926,238.1152563264974,295.2288977512463,398.15461699600195,10.247763813331646,9.583333333333334,360,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia,1,attention_lstm,1.6564572188515774,1.9614104609077003,0.662373406009219,0.7179637293496182,3.8821308390299483,4.543179423014323,15.204364906352877,22.13677654833792,221.81041112666352,211.70572916666666,10,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia,1,persistence,0.22054776084250194,0.32937758808807166,0.926180141987147,0.9618115137444905,1.0666666666666675,1.4666666666666635,1.539329093906666,1.9227751421553776,0.007427200003924858,0.006510416666666667,10,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia,1,xgboost,1.2394881273252134,1.5210841171846017,0.6515662326301269,0.71247266242724,2.487927958170573,2.9778239949544276,12.23411600903745,18.96638008582558,4.134237400004834,3.7151041666666664,10,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia,3,attention_lstm,1.9112695156297768,2.2175154530726084,0.6529188116146832,0.7093233740452879,4.345936635335287,5.064097442626952,15.965781836473289,23.32861722472873,204.24360590000472,194.95260416666667,30,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia,3,persistence,0.3783520069984186,0.5714008727663573,0.9148077117189866,0.9547121563877393,1.7999999999999998,2.3333333333333357,2.719888294471922,3.4166077857407213,0.007299893334129593,0.0031250000000000006,30,equal mean of three outer-fold seed means; overlapping folds; descriptive only
pleia,3,xgboost,1.8299215789858583,2.128514408161846,0.6020187746038156,0.6869755391810504,3.5185905965169275,4.156653951009114,15.64131833395139,23.492355690524814,4.1715883399990465,3.7106770833333336,30,equal mean of three outer-fold seed means; overlapping folds; descriptive only
