dataset,horizon,outer_fold,model_seed,source_run,source_hash,protocol_hash,target_units,physical_minutes,command_seconds,process_cpu_seconds,preparation_seconds,action_peak_rss_MiB,lifetime_peak_rss_MiB,validation_seconds,validation_cpu_seconds,resume_seconds,output_bytes
pleia_energy,3,1,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f1_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,15744cbdf50123bfed771b75586629e0389848d25f4e791833fcffa54aa0932f,kWh per 10 minutes,30,84.91113680000126,82.21875,2.7080435999960173,593.78125,595.03125,8.419268600002397,5.171875,6.275864399998682,12638619
pleia_energy,6,1,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f1_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,44aa0ec44a099dba2dbd7fec045eed74e79456d849161654051805ea201afed5,kWh per 10 minutes,60,79.3954148000048,77.078125,2.734447300012107,600.30859375,606.6171875,8.447308800008614,5.328125,6.304211900001974,12637564
pleia_energy,1,0,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,1c89ab32cbb43766a72a7fdbf9f5fba751fac2b5a7248e536e812457416857ec,kWh per 10 minutes,10,205.9373315999983,201.859375,3.0581852000032086,610.2578125,610.2578125,9.714316499987035,5.640625,6.681771900010062,15128452
pleia_energy,3,0,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,fc08af58fb2aaec38a8c2665c437f882729a6d19f769022d78b9cb06448158c3,kWh per 10 minutes,30,137.5477525000024,134.34375,3.0906998999998905,616.63671875,618.625,8.692149699985748,5.75,6.9685975999891525,15126882
pleia_energy,6,0,44,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f0_s44_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,beab242517c7fb299c78020e552436a75640da60a4f7760aef5c1def1bdd79cf,kWh per 10 minutes,60,118.4148581999907,114.78125,3.1216247999982443,615.58984375,615.90234375,10.000294600002235,5.8125,6.73875190000399,15108422
pleia_energy,1,1,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,e5c1dae79856ba2985e5bf3d1ab459636cebb345a3f6408602b78f90761804ba,kWh per 10 minutes,10,74.98062390001724,72.171875,2.7278928000014275,599.4921875,607.54296875,9.163885999994818,5.109375,6.417011499986984,12637462
pleia_energy,3,1,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f1_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,348012fb294a1756ef25f221352a18c83e5173d14ae9c1cdbfe96d8854baf3f0,kWh per 10 minutes,30,94.38774649999687,91.8125,2.7753793000010774,602.97265625,609.31640625,9.31615519998013,5.234375,6.346423799986951,12648532
pleia_energy,6,1,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f1_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,e2840eecdc0ab92509276e9c3ddbb386ba860a6883136be8b9f228010a50cac2,kWh per 10 minutes,60,89.32475349999731,86.53125,2.769664100022055,593.2265625,593.3515625,9.36644349998096,5.296875,6.427892100007739,12633678
pleia_energy,1,0,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,948bd682c0bd56fbbe5133392eb2d6b8646ad82ec0d0b8772fa165f286e449dc,kWh per 10 minutes,10,148.55407310000737,144.78125,3.079589200002374,617.18359375,617.62109375,9.817520699987654,5.75,6.67701610000222,15120174
pleia_energy,3,0,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,c5f9bfd1f2eb6f634a5c112233a2a733c43ca9f400bbe2628bde0b295469af88,kWh per 10 minutes,30,96.48974309998448,92.78125,3.0856812999991234,617.1328125,617.265625,9.752344100008486,5.65625,6.751533600006951,15141279
pleia_energy,6,0,45,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f0_s45_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,dd428e934c524a9daae0ec49ff2886dfff2883e6229feef74a12065f07cc7184,kWh per 10 minutes,60,88.1208953000023,85.546875,3.0929416999861132,613.12890625,615.80078125,9.930175399989821,5.84375,6.570856399979675,15109545
pleia_energy,1,1,46,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f1_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,42ce421db703589fa05f08743d029d900203f71dcfc809653f70282c90d5db0c,kWh per 10 minutes,10,101.4121817999985,98.0625,2.763075499999104,599.3828125,608.4765625,8.796822100004647,5.359375,6.388916600000812,12636785
pleia_energy,3,1,46,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f1_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,8776270b62861d4d439b536f09407a9ef30671a279401e7b6b22fc5064d2538e,kWh per 10 minutes,30,75.1292814000044,73.28125,2.822643199993763,601.36328125,609.54296875,8.727880099992035,5.125,6.333532300021034,12643214
pleia_energy,6,1,46,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f1_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,d65ac7c08324f695c221b4ac18143deff39ac0c271dc8aa96bc98db95fd1cd85,kWh per 10 minutes,60,76.63287809997564,74.125,2.7839544999878854,599.71875,607.05859375,9.343538699991768,5.3125,6.390010200004326,12638170
pleia_energy,1,0,46,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f0_s46_v1,a94b3835135749e2f18b89fb6017d8d0b8b9d419cb0a1f9be11122d93d0a217f,8ee91528127149f57a3d881cb696c3cb00739a08646ec128bcd6d9d17be0bb65,kWh per 10 minutes,10,214.58872390000033,210.5,3.1205179000098724,616.95703125,617.20703125,8.805640300008235,5.859375,6.6699930999893695,15126369
