dataset,horizon,outer_fold,model,mae,rmse,coverage90,coverage95,mpiw90,mpiw95,winkler90,winkler95,model_phase_seconds,process_cpu_seconds,aggregation
bdg2,1,0,attention_lstm,17.190969208073795,31.883536529071527,0.893725672456864,0.9451286818102597,84.05259680664061,122.64692890625,157.02575797390486,208.92356985138858,910.6784564799979,895.925,mean across five training seeds within one outer fold; descriptive only
bdg2,1,0,persistence,18.920858339627028,37.87831670828571,0.8909545111253122,0.9455643990007554,104.0,152.32400000000007,191.0187430430489,251.8041827688374,0.018757840001489966,0.01875,mean across five training seeds within one outer fold; descriptive only
bdg2,1,0,xgboost,16.86372045286958,32.15314759614533,0.8917794690059839,0.9435078138616163,83.48675939941407,121.18108906249995,158.13714934941942,210.70585078794102,12.40179220000282,11.40625,mean across five training seeds within one outer fold; descriptive only
bdg2,1,1,attention_lstm,17.58685444883946,33.82242610002163,0.9164948453608247,0.9619715046913008,95.29297529296876,139.58102465820323,156.89350413845932,212.01266383229003,761.311554859986,747.2625,mean across five training seeds within one outer fold; descriptive only
bdg2,1,1,persistence,18.105949944978573,38.39896815958996,0.9199872581952973,0.9598633151859145,118.33199999999995,170.0,187.70410077609176,249.7789415035329,0.017754179997427854,0.01875,mean across five training seeds within one outer fold; descriptive only
bdg2,1,1,xgboost,16.60441640500191,33.00203524656208,0.9148731611259121,0.9602224024093594,91.76732851562501,136.48182558593754,154.7547324807163,209.75014888131167,10.36414093998901,9.515625,mean across five training seeds within one outer fold; descriptive only
bdg2,1,2,attention_lstm,19.453115239790215,36.646945918020634,0.9003752886836027,0.9492090069284064,97.53179389648426,141.76826972656255,178.64404924040693,240.4262511414955,855.1856393999988,816.75,mean across five training seeds within one outer fold; descriptive only
bdg2,1,2,persistence,20.987969087759815,41.67140770234165,0.894919168591224,0.9467667436489607,115.80600000000072,165.40000000000003,207.41386443418008,273.690915473441,0.021565579999878536,0.021875,mean across five training seeds within one outer fold; descriptive only
bdg2,1,2,xgboost,17.74845544732425,34.96131447286367,0.9030542725173211,0.9488394919168591,93.52828081054687,136.77625541992182,172.20427059855263,232.5294188492666,9.572548599998118,9.375,mean across five training seeds within one outer fold; descriptive only
bdg2,3,0,attention_lstm,25.97935932476641,48.3888182588354,0.8967811283481495,0.9448027424321654,129.10169428710935,186.5572578125,239.42972538419912,319.4516743274592,788.2676490799931,774.928125,mean across five training seeds within one outer fold; descriptive only
bdg2,3,0,persistence,35.96071829062809,70.00202988160564,0.9063389692638429,0.9515716692812737,225.47200000000066,334.0,368.6008462030098,471.38619371332277,0.018332360009662808,0.021875,mean across five training seeds within one outer fold; descriptive only
bdg2,3,0,xgboost,24.214763325852378,47.47906154175059,0.8969554354773109,0.9445993841148104,124.99400181640608,179.38213082031254,232.89971771470874,312.5472973758015,12.047747279988835,11.31875,mean across five training seeds within one outer fold; descriptive only
bdg2,3,1,attention_lstm,27.791503630555884,51.719069926557005,0.911049339819319,0.9626187167014131,145.27229126953125,218.84662158203122,243.11544359291074,327.59779522040856,584.8499050600046,575.6625,mean across five training seeds within one outer fold; descriptive only
bdg2,3,1,persistence,37.25500358176974,72.47955835894919,0.9165508454945565,0.9572619874913133,255.31800000000007,356.6119999999993,378.8612918114432,478.5305016214961,0.01651581999612972,0.0125,mean across five training seeds within one outer fold; descriptive only
bdg2,3,1,xgboost,25.05727831413113,47.25001135678862,0.9065207319898076,0.9596015751679406,132.90255634765631,199.733109375,223.89672690047422,297.91031163765246,9.372968979994766,8.79375,mean across five training seeds within one outer fold; descriptive only
bdg2,3,2,attention_lstm,33.48300298104682,65.18794880272159,0.9057390300230947,0.9502078521939954,165.17850834960933,237.2867018554688,313.45069894603137,434.3813508770173,505.59274062000185,494.93125,mean across five training seeds within one outer fold; descriptive only
bdg2,3,2,persistence,42.80348447459585,78.69880137930757,0.8978348729792149,0.9459872979214781,250.0,344.19999999999993,402.0599384526559,504.7519927251731,0.02194969999982277,0.028125,mean across five training seeds within one outer fold; descriptive only
bdg2,3,2,xgboost,28.239933876681533,53.74540457195256,0.906501154734411,0.949284064665127,145.556202734375,207.1592526367187,263.4868275561481,357.85312211398843,9.015379480001865,8.7625,mean across five training seeds within one outer fold; descriptive only
bdg2,6,0,attention_lstm,33.722924348624076,61.74777732438265,0.9090481171548117,0.954137610413761,173.04008427734374,252.56512792968743,304.7982230636022,412.7097988544854,611.2092333000037,601.484375,mean across five training seeds within one outer fold; descriptive only
bdg2,6,0,persistence,60.83421136390051,106.62687117557456,0.9060030218503023,0.9560088331008834,382.2940000000002,506.0,542.8734193979544,661.2996587633658,0.019462779979221523,0.015625,mean across five training seeds within one outer fold; descriptive only
bdg2,6,0,xgboost,29.091739190493286,57.40496722050081,0.9034170153417016,0.949029521152952,156.951744707031,223.20984527343754,283.52166247938555,382.10990101575305,12.24744068,11.359375,mean across five training seeds within one outer fold; descriptive only
bdg2,6,1,attention_lstm,35.663840626023436,65.46328825407488,0.905917433848648,0.9571014996236465,182.4698069335938,271.3500713867188,314.8276878701337,420.8018739141162,477.6283115800121,469.871875,mean across five training seeds within one outer fold; descriptive only
bdg2,6,1,persistence,63.72720272711482,111.46662011507132,0.9152046783625731,0.9529268716345317,416.0,519.5599999999997,568.8483909443576,691.4535814949911,0.016525579994777218,0.015625,mean across five training seeds within one outer fold; descriptive only
