dataset,horizon,outer_fold,seed,model,estimator_class,evidence_status,mae,rmse,n_fit,n_calibration,n_evaluation,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_batch_size,inference_rows_per_second,selected_candidate,final_epochs,status,baseline_rss_bytes,peak_rss_bytes,peak_private_bytes,coverage_90,mpiw_90,winkler_90,q_90,rank_90,coverage_95,mpiw_95,winkler_95,q_95,rank_95,horizon_minutes
pleia,1,0,42,persistence,src.pilot_forecasters.Persistence,pilot,0.2037751085091349,0.3274649132433441,29719,9907,9907,0.0,0.0004923999986203,0.0053952000016579,0.0040239000009023,256,2462039.314540212,0,,complete,410374144,410468352,369774592,0.92046028060967,1.0,1.5598061976380335,0.5,8918,0.9596245079236904,1.3999999999999984,1.9842333703442008,0.6999999999999993,9413,10
pleia,1,0,42,xgboost,xgboost.sklearn.XGBRegressor,pilot,0.2445261592639736,0.353309709615502,29719,9907,9907,4.353503899998032,1.2833855000026233,0.1058360999995784,0.1025798999980907,256,96578.3745176628,0,,complete,412602368,526725120,548229120,0.8871504996467144,0.995648193359372,1.6334668737927278,0.4978240966796861,8918,0.9363076612496216,1.271244812011716,2.076633822016679,0.635622406005858,9413,10
pleia,1,0,42,attention_lstm,src.attention_lstm.AttentionLSTM,pilot,0.3610993958751694,0.4866217220226247,29719,9907,9907,252.91565009999977,82.52771489999941,0.3792401999999129,0.3653656000024057,256,27115.30587426613,0,20.0,complete,508956672,714498048,681340928,0.8724134450388614,1.3804168701171875,2.17718302860647,0.6902084350585938,8918,0.9227818714040578,1.668119812011717,2.6856906025660225,0.8340599060058587,9413,10
pleia,3,0,42,persistence,src.pilot_forecasters.Persistence,pilot,0.3773493489451903,0.6099061114818022,29715,9906,9907,0.0,0.0008722999991732,0.0051697999988391,0.0041669999991427,256,2377489.801305059,0,,complete,693739520,693755904,651010048,0.892702129807207,1.6000000000000016,2.9449076410618757,0.8000000000000007,8917,0.9417583526799232,2.200000000000003,3.825517310992226,1.1000000000000014,9412,30
pleia,3,0,42,xgboost,xgboost.sklearn.XGBRegressor,pilot,0.5612760152419208,0.7298684172914721,29715,9906,9907,4.189542000000074,1.2421013999992283,0.1014192000002367,0.1013249000025098,256,97774.58452714588,0,,complete,692441088,702578688,660180992,0.765721207227213,1.5938430786132751,3.4326886047012195,0.7969215393066378,8917,0.8802866659937418,2.0759643554687486,4.1207628417426605,1.0379821777343743,9412,30
pleia,3,0,42,attention_lstm,src.attention_lstm.AttentionLSTM,pilot,0.6531397834824808,0.8792127260205383,29715,9906,9907,241.38085390000003,68.47716389999994,0.5106491000000233,0.5225679000000127,256,18958.30187809041,0,14.0,complete,422682624,543645696,515510272,0.8210356313717574,2.101978302001953,4.057245998242025,1.0509891510009766,8917,0.8970424952054104,2.63101577758789,5.088480114130626,1.315507888793945,9412,30
pleia,6,0,42,persistence,src.pilot_forecasters.Persistence,pilot,0.5481174926819421,0.8776005350395164,29710,9904,9907,0.0,0.0004184000000577,0.0052603000000317,0.0040773000000626,256,2429794.226534154,0,,complete,509612032,509628416,470421504,0.8939133945694964,2.3999999999999986,4.21992530533966,1.1999999999999993,8915,0.9402442717270616,3.199999999999996,5.547431109316643,1.599999999999998,9410,60
pleia,6,0,42,xgboost,xgboost.sklearn.XGBRegressor,pilot,0.758970369165909,0.9858096215899382,29710,9904,9907,4.982808100000057,1.3295131999999512,0.1094066000000566,0.1072956000000431,256,92333.70240714456,0,,complete,509689856,627662848,655802368,0.7753103865953366,2.269615936279294,4.437111560624776,1.134807968139647,8915,0.8819016856767942,2.7935714721679688,5.371068596178097,1.3967857360839844,9410,60
pleia,6,0,42,attention_lstm,src.attention_lstm.AttentionLSTM,pilot,1.246394193931727,1.5676521183221808,29710,9904,9907,164.95222739999997,51.45261340000002,0.388137699999902,0.4450994000000037,256,22257.94957261213,1,11.0,complete,621244416,670683136,708542464,0.7191884526092662,3.29086532592774,7.819547741644378,1.64543266296387,8915,0.8073079640658121,3.9118721008300814,10.048865994197069,1.9559360504150405,9410,60
