model,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,max_sampled_rss_bytes,model_compute_seconds,same_cost_15_repetitions_seconds
attention_lstm,659.2487313999998,202.45749219999936,1.2780269999998382,1.3330329000024221,714498048,864.3172835000014,12964.759252500022
persistence,0.0,0.0017830999978512,0.0158253000005287,0.012268200000107601,693755904,0.0298765999984875,0.4481489999773125
xgboost,13.525853999998162,3.855000100001803,0.3166618999998717,0.3112004000006436,702578688,18.00871640000048,270.1307460000072
