model,mae,rmse,n,negative_predictions,verified
persistence,0.07447077772664519,0.12451008457023498,8692,0,True
xgboost,0.2889231949537183,0.44265922729432006,8692,0,True
attention_lstm,2.7520012263926943,2.9923127390267306,8692,0,True
