role,candidate_id,method,rule_id,strategy,inner_fold,macro_event_recall,observed_strata_recall,custom_synthetic_f1,event_recall_micro,ordinary_matched_event_episode_precision,background_episodes_per_asset_day,exposure_asset_days,n_events,n_detected,corrupted_episode_count,unmatched_episode_count,time_in_alert_fraction,observed_strata,detected_delay_median_minutes,detected_delay_q90_minutes,undetected_fraction,delay_restriction_minutes,restricted_mean_detection_minutes,equal_group_episode_rate,equal_group_event_recall,portfolio_calendar_days,portfolio_episodes_per_calendar_day,bound_status,valid_replicates,supported_strata,recall_lcb,recall_ucb,workload_lcb,workload_ucb
inner1_selection,c0001_ee0570e08213,quantile_uncalibrated,180min_3of3,static,1,0.2164540301669368,0.2164540301669368,0.28221279795506454,0.22297297297297297,0.6290322580645161,0.07736389684813755,814.3333333333331,1924,429,682,253,0.012617683176422433,21,120.0,240.0,0.777027027027027,360.0,313.12889812889813,0.07734393268762656,0.22288501106299802,81.45833333333333,0.7734015345268542,supported,2000,21,0.19744120779224156,0.2379599024731309,0.03682864450127878,0.11907928388746805
inner1_selection,c0002_fa76e087b17d,quantile_uncalibrated,360min_4of6,static,1,0.1776798827498891,0.1776798827498891,0.2300315580529925,0.18347193347193347,0.5214180206794683,0.09946786737617686,814.3333333333331,1924,353,677,324,0.0205075726565698,21,180.0,300.0,0.8165280665280665,360.0,328.3160083160083,0.09944111938839384,0.18319259014195124,81.45833333333333,0.9943734015345269,supported,2000,21,0.14841507690769312,0.20487904995564934,0.04913501893745522,0.15099860135906865
inner1_selection,c0012_23099bed3753,cqr,single_sample,static,1,0.7589083820662766,0.7589083820662766,0.3814460928530291,0.7474012474012474,0.2644840904910796,1.040114613180516,814.3333333333331,1924,1438,5437,3999,0.07316823577568564,21,60.0,180.0,0.25259875259875264,360.0,143.13929313929313,1.0398256302989668,0.7465619927131157,81.45833333333333,10.397953964194373,supported,2000,21,0.680120675373653,0.8257213760978745,0.46886290596966346,1.652965185775319
inner1_selection,c0013_a21278d4e492,cqr,180min_3of3,static,1,0.1316003129004145,0.1316003129004145,0.1839380802390827,0.1366943866943867,0.7127371273712737,0.0319279574293901,814.3333333333331,1924,263,369,106,0.006692591076545233,21,120.0,180.0,0.8633056133056133,360.0,330.43659043659045,0.03191815856777495,0.1368040894936799,81.45833333333333,0.3191815856777494,supported,2000,21,0.10159952858928468,0.16455023192219784,0.012279983626688501,0.05647058823529412
inner1_selection,c0014_54a0e1ef5720,cqr,360min_4of6,static,1,0.10235158536350317,0.10235158536350317,0.14041068195905626,0.10706860706860707,0.6936026936026936,0.02824396234138355,814.3333333333331,1924,206,297,91,0.009394187474416702,21,180.0,240.0,0.8929313929313929,360.0,340.97713097713097,0.028235294117647063,0.10693231062570796,81.45833333333333,0.2823529411764706,supported,2000,21,0.07636168158117525,0.13111209798390033,0.008593350383631716,0.05278772378516626
inner1_selection,c0024_ba16b82adffd,cqr,single_sample,rolling,1,0.7715542559925574,0.7715542559925574,0.4346686147839381,0.7603950103950103,0.31598272138228944,1.0744985673352438,814.3333333333331,1924,1463,4630,3167,0.06253581661891118,21,60.0,180.0,0.23960498960498966,360.0,139.3035343035343,1.0745920722673707,0.7599513778382005,81.45833333333333,10.741687979539643,supported,2000,21,0.7407356067147547,0.8039596418768568,0.9943734015345272,1.1660992228377354
inner1_selection,c0025_63dd1cc1601e,cqr,180min_3of3,rolling,1,0.13098091615259275,0.13098091615259275,0.18716206438624836,0.1346153846153846,0.8519736842105263,0.024559967253377002,814.3333333333331,1924,259,304,45,0.005945558739255016,21,120.0,180.0,0.8653846153846154,360.0,330.62370062370064,0.024559988137401442,0.13494403230123866,81.45833333333333,0.24552429667519182,supported,2000,21,0.10512011546667178,0.16040468985786174,0.008593350383631716,0.04664997440361471
inner1_selection,c0026_47d9fe7d15ba,cqr,360min_4of6,rolling,1,0.08734337534800218,0.08734337534800218,0.118350816245948,0.09251559251559252,0.8356807511737089,0.01596397871469505,814.3333333333331,1924,178,213,35,0.0076647564469914066,21,180.0,240.0,0.9074844074844075,360.0,343.5031185031185,0.015966637753769726,0.09260679217831468,81.45833333333333,0.1595907928388747,supported,2000,21,0.07104338944545543,0.10489579217553205,0.0061381074168797975,0.028252635889036752
outer_test,c0000_f5146f1247fa,quantile_uncalibrated,single_sample,static,-1,0.7878437884078221,0.7878437884078221,0.32539160875764256,0.7915151515151515,0.2095635430038511,1.4415933035069999,1443.5416666666663,3300,2612,12464,9852,0.1990243902439025,21,60.0,240.0,0.2084848484848485,360.0,134.14545454545456,1.4392884525562297,0.785909028049471,144.79166666666666,14.372374100719425,supported,2000,21,0.7098971518794939,0.854388485251453,1.0940512705438894,1.7790165674096474
outer_test,c0012_23099bed3753,cqr,single_sample,static,-1,0.8106500427095087,0.8106500427095087,0.3892835206062635,0.8118181818181818,0.2642533043992898,1.080675422138837,1443.5416666666663,3300,2679,10138,7459,0.08101024678885844,21,60.0,180.0,0.18818181818181823,360.0,123.50909090909092,1.0789399390966086,0.8103844655190147,144.79166666666666,10.774100719424462,supported,2000,21,0.7704324384750189,0.8422455948974922,0.6740957345554699,1.4568152677195305
outer_test,c0013_a21278d4e492,cqr,180min_3of3,static,-1,0.1687902920941325,0.1687902920941325,0.2291560487558468,0.1806060606060606,0.6906141367323291,0.04087169865781499,1443.5416666666663,3300,596,863,267,0.009738779044595183,21,120.0,180.0,0.8193939393939393,360.0,321.56363636363636,0.040792183261485516,0.18240259721550228,144.79166666666666,0.40748201438848924,supported,2000,21,0.13952356265870036,0.20069986833801334,0.0172666839333506,0.08081040635432256
outer_test,c0024_ba16b82adffd,cqr,single_sample,rolling,-1,0.7681600380272409,0.7681600380272409,0.46090049436638303,0.7681818181818182,0.34536784741144416,0.9268869966806179,1443.5416666666663,3300,2535,7340,4805,0.06394573531534134,21,60.0,180.0,0.2318181818181818,360.0,135.16363636363636,0.9269438497475212,0.7678643979551983,144.79166666666666,9.240863309352518,supported,2000,21,0.7340875882445083,0.7972152411363671,0.7681099668380968,1.0633435317208335
outer_test,diagnostic_persistence_split_095_single_sample,persistence_split,single_sample,static,-1,0.6221920369384933,0.6221920369384933,0.35787621543500797,0.6093939393939394,0.26582947785855915,0.7557800548419688,1443.5416666666663,3300,2011,7565,5554,0.0600432962909511,21,60.0,240.0,0.3906060606060606,360.0,184.87272727272727,0.7534997825573738,0.6053055181810825,144.79166666666666,7.534964028776979,supported,2000,21,0.47448652164946786,0.757125103328475,0.30666573562486577,1.2487555226496865
