role,candidate_id,method,rule_id,strategy,inner_fold,macro_event_recall,observed_strata_recall,custom_synthetic_f1,event_recall_micro,ordinary_matched_event_episode_precision,background_episodes_per_asset_day,exposure_asset_days,n_events,n_detected,corrupted_episode_count,unmatched_episode_count,time_in_alert_fraction,observed_strata,detected_delay_median_minutes,detected_delay_q90_minutes,undetected_fraction,delay_restriction_minutes,restricted_mean_detection_minutes,equal_group_episode_rate,equal_group_event_recall,portfolio_calendar_days,portfolio_episodes_per_calendar_day,bound_status,valid_replicates,supported_strata,recall_lcb,recall_ucb,workload_lcb,workload_ucb
inner0_selection,c0000_f5146f1247fa,quantile_uncalibrated,single_sample,static,0,0.6877672417130608,0.6877672417130608,0.32096882500849866,0.6752360965372508,0.2175824175824176,1.2215053763440864,813.7499999999998,1906,1287,5915,4628,0.11895545314900156,21,60.0,240.0,0.3247639034627492,360.0,168.38405036726127,1.2215053763440862,0.6734763100745711,81.375,12.21505376344086,supported,2000,21,0.6214777086059116,0.746308917721322,0.6537327188940093,1.8458064516129034
inner0_selection,c0001_ee0570e08213,quantile_uncalibrated,180min_3of3,static,0,0.23156021239801095,0.23156021239801095,0.253297174496124,0.23767051416579224,0.3704006541291905,0.2101382488479263,813.7499999999998,1906,453,1223,770,0.03408090117767538,21,120.0,240.0,0.7623294858342078,360.0,309.97901364113324,0.21013824884792628,0.23697455528878061,81.375,2.1013824884792625,supported,2000,21,0.18847053142374634,0.2794083369273655,0.0761904761904762,0.3526881720430108
inner0_selection,c0002_fa76e087b17d,quantile_uncalibrated,360min_4of6,static,0,0.1826813451701501,0.1826813451701501,0.2081587541876593,0.1888772298006296,0.3415559772296015,0.19293394777265752,813.7499999999998,1906,360,1054,694,0.04943164362519202,21,180.0,300.0,0.8111227701993704,360.0,325.71878279118573,0.1929339477726575,0.1883096822337431,81.375,1.9293394777265744,supported,2000,21,0.1323437643212176,0.23905750712438167,0.07250384024577573,0.32445468509984626
inner0_selection,c0012_23099bed3753,cqr,single_sample,static,0,0.6396799275278718,0.6396799275278718,0.37870427697096026,0.6243441762854145,0.2895377128953771,0.7582181259600617,813.7499999999998,1906,1190,4110,2920,0.07597542242703535,21,60.0,180.0,0.3756558237145855,360.0,178.45750262329486,0.7582181259600616,0.6232282100583475,81.375,7.582181259600614,supported,2000,21,0.5736322879909584,0.7022161450807587,0.42147465437788023,1.1048233486943162
inner0_selection,c0013_a21278d4e492,cqr,180min_3of3,static,0,0.18166785745352915,0.18166785745352915,0.2234502109174835,0.18835257082896117,0.5523076923076923,0.07987711213517668,813.7499999999998,1906,359,650,291,0.01929339477726575,21,120.0,180.0,0.8116474291710388,360.0,319.800629590766,0.07987711213517668,0.1884013769437016,81.375,0.7987711213517665,supported,2000,21,0.15038115989311182,0.21915848244291625,0.023348694316436255,0.1548387096774194
inner0_selection,c0014_54a0e1ef5720,cqr,360min_4of6,static,0,0.1356269120058369,0.1356269120058369,0.16942229312632348,0.14218258132214062,0.5231660231660231,0.07004608294930878,813.7499999999998,1906,271,518,247,0.02537634408602151,21,180.0,240.0,0.8578174186778593,360.0,334.69045120671564,0.07004608294930877,0.14224352536887883,81.375,0.7004608294930875,supported,2000,21,0.10485456986127889,0.1718832264649438,0.019662058371735795,0.1339477726574501
inner0_selection,c0024_ba16b82adffd,cqr,single_sample,rolling,0,0.6380467506573312,0.6380467506573312,0.3848311681325657,0.6227701993704092,0.29704704704704704,0.870046082949309,813.7499999999998,1906,1187,3996,2809,0.06750640040962624,21,60.0,180.0,0.3772298006295908,360.0,181.79433368310598,0.8700460829493089,0.6218769154202297,81.375,8.700460829493087,supported,2000,21,0.6001001943856552,0.6736185096885299,0.7852227342549924,0.9646697388632874
inner0_selection,c0025_63dd1cc1601e,cqr,180min_3of3,rolling,0,0.1560814589195656,0.1560814589195656,0.19911698281099233,0.161594963273872,0.5347222222222222,0.0970814132104455,813.7499999999998,1906,308,576,268,0.014142345110087046,21,120.0,180.0,0.838405036726128,360.0,324.5855194123819,0.09708141321044549,0.16184548158811257,81.375,0.9708141321044547,supported,2000,21,0.1310244243431787,0.17748772066303034,0.05407066052227343,0.14132104454685102
inner0_selection,c0026_47d9fe7d15ba,cqr,360min_4of6,rolling,0,0.11311915647921551,0.11311915647921551,0.1399214964846527,0.11962224554039874,0.48717948717948717,0.08970814132104457,813.7499999999998,1906,228,468,240,0.01950844854070661,21,180.0,240.0,0.8803777544596012,360.0,338.49947534102836,0.08970814132104456,0.11988241095565969,81.375,0.8970814132104454,supported,2000,21,0.09888750845561504,0.12596128636880083,0.047926267281105994,0.1327188940092166
inner1_selection,c0000_f5146f1247fa,quantile_uncalibrated,single_sample,static,1,0.8625593022961443,0.8625593022961443,0.30127393137302866,0.8565488565488566,0.18508535489667566,1.9230454359394191,814.3333333333331,1924,1648,8904,7256,0.12442693409742124,21,60.0,240.0,0.1434511434511434,360.0,115.75883575883576,1.9226782178282789,0.8561537917288501,81.45833333333333,19.22455242966752,supported,2000,21,0.8389277502158572,0.8859796289523796,1.3573548981472006,2.477512666808345
