role,n,maximum_prediction_difference,owner_sha256
calibration,17360,0.0,40f4912e1aea2a3e61a8206943a7ddc5b4dcdd9fdbb657b5f8d49610355a8b71
test,34640,0.0,40f4912e1aea2a3e61a8206943a7ddc5b4dcdd9fdbb657b5f8d49610355a8b71
