horizon,model,mae,rmse,mae_std,rmse_std,pct_mae_improvement,pct_rmse_improvement,n_seeds,n_test
1,persistence,0.20260189948555601,0.3253274506378214,,,0.0,0.0,1,10108
1,seasonal_naive,1.4768104471705579,2.1972867032664185,,,-628.9223106597,-575.4077158132593,1,10108
1,xgboost,0.3511569723764049,0.5067307025312783,0.006578907558021802,0.008130989471301303,-73.32363283269206,-55.760204537860645,5,10108
1,attention_lstm,0.8028641502235452,1.0739099352963277,0.09420507805758992,0.11769342077670367,-296.27671421747124,-230.1012359058147,3,10108
3,persistence,0.3750940035622403,0.6058173361381183,,,0.0,0.0,1,10106
3,seasonal_naive,1.4770631308133784,2.197501865042041,,,-293.7847890890864,-262.7334072429119,1,10106
3,xgboost,0.5316771750164202,0.7282952625552968,0.0,0.0,-41.74504789922552,-20.21697285817769,5,10106
3,attention_lstm,0.810605170942405,1.0708291501060059,0.025611843305533507,0.0219107459822851,-116.10720599213717,-76.75775951414357,3,10106
6,persistence,0.5457190933386123,0.8723348149066551,,,0.0,0.0,1,10103
6,seasonal_naive,1.4774324458081758,2.19782337683528,,,-170.73130917401238,-151.94722705988298,1,10103
6,xgboost,0.6999340361703048,0.9533226823711104,0.011020067917404145,0.008555429875179705,-28.259033761899893,-9.284034762858969,5,10103
6,attention_lstm,1.0556216581545288,1.3691249752388672,0.024951472506314774,0.018452868743050122,-93.43681960922848,-56.94948222207221,3,10103
