true_positives,false_positives,false_negatives,precision,recall,f1,false_alert_events_per_day,mean_detection_delay_min,median_detection_delay_min,n_events,rule
20,335,1,0.056338028169014086,0.9523809523809523,0.10638297872340426,4.771985359580572,21.5,0.0,21,1-of-1
18,105,3,0.14634146341463414,0.8571428571428571,0.25,1.4956969037491346,34.44444444444444,10.0,21,2-of-3
18,38,3,0.32142857142857145,0.8571428571428571,0.4675324675324676,0.5412998318330201,47.22222222222222,20.0,21,3-of-5
