scenario,n_test,mae,rmse,empirical_coverage,mean_interval_width,alert_recall,false_alert_events_per_day,nominal_level
clean,10107,0.3141360067635253,0.4761331222639184,0.9372711981794796,1.647594017550145,,0.9545859305431879,0.95
missing_5pct,10107,0.31081802662398694,0.47057543458982604,0.9368754328683091,1.6416954695728017,,1.0258236865538735,0.95
missing_10pct,10107,0.3075857091873684,0.46595806892409747,0.9380627288018205,1.6342055881490052,,1.0543187889581478,0.95
level_shift_1sd,10107,0.4131077021048666,0.5569810886525389,0.8035025230038587,1.6944684128546108,1.0,3.3196794300979517,0.95
drift,10107,0.3528869099890851,0.5020030140739126,0.8829524092213318,1.5954090505006167,1.0,2.2083704363312555,0.95
