dataset,target_sensor,horizon,point_model,conformal_method,nominal_coverage,empirical_coverage,coverage_deviation,mean_interval_width,median_interval_width,winkler_score
PLEIAData,B-room11-V2,1,HistGBR-quantile,CQR,0.9,0.8904827859121488,0.009517214087851222,1.3304538426348989,1.2745756532249377,1.9883142383961534
PLEIAData,B-room11-V2,1,HistGBR-quantile,CQR,0.95,0.9372774040364068,0.012722595963593153,1.647553824422792,1.573963416990308,2.5099514567698447
PLEIAData,B-room11-V2,1,XGBRegressor,EnbPI-static,0.9,0.8449742777997625,0.05502572220023749,1.3068897451673216,1.3068897451673216,2.4213453058970313
PLEIAData,B-room11-V2,1,XGBRegressor,EnbPI-static,0.95,0.9140284922833399,0.03597150771666002,1.7226946694510339,1.7226946694510339,3.05928772309507
PLEIAData,B-room11-V2,1,XGBRegressor,EnbPI-updated,0.9,0.8834586466165414,0.016541353383458635,1.499357848950916,1.5499207973480225,2.3680243939183834
PLEIAData,B-room11-V2,1,XGBRegressor,EnbPI-updated,0.95,0.9399485555995252,0.010051444400474785,1.9608499130280406,2.009994888305666,2.9645038756399438
PLEIAData,B-room11-V2,3,HistGBR-quantile,CQR,0.9,0.8875915297842866,0.012408470215713452,2.0067552580564807,1.9464144230388243,3.1137764835891817
PLEIAData,B-room11-V2,3,HistGBR-quantile,CQR,0.95,0.9481496140906392,0.0018503859093607078,2.5755553603268426,2.500014984264652,3.8614148665215464
PLEIAData,B-room11-V2,3,XGBRegressor,EnbPI-static,0.9,0.8011082525232535,0.09889174747674656,1.7602397547827842,1.7602397547827842,3.67799231398506
PLEIAData,B-room11-V2,3,XGBRegressor,EnbPI-static,0.95,0.879873342568771,0.07012665743122892,2.297559112972685,2.297559112972685,4.671008449480793
PLEIAData,B-room11-V2,3,XGBRegressor,EnbPI-updated,0.9,0.8712645952899267,0.028735404710073298,2.1391414133048827,2.294279098510742,3.490526266396857
PLEIAData,B-room11-V2,3,XGBRegressor,EnbPI-updated,0.95,0.9278646348703741,0.022135365129625884,2.785494828315101,2.9791381835937507,4.351710681616092
PLEIAData,B-room11-V2,6,HistGBR-quantile,CQR,0.9,0.9010194991586657,0.0010194991586657265,2.713750173121387,2.657130918045624,3.9873398686844794
PLEIAData,B-room11-V2,6,HistGBR-quantile,CQR,0.95,0.9398198554884688,0.010180144511531153,3.3082265976408247,3.246015982584204,5.018666819183065
PLEIAData,B-room11-V2,6,XGBRegressor,EnbPI-static,0.9,0.7951103632584381,0.10488963674156193,2.1531817807091578,2.1531817807091578,4.619347437917919
PLEIAData,B-room11-V2,6,XGBRegressor,EnbPI-static,0.95,0.8766702959516975,0.07332970404830241,2.7730760892232214,2.7730760892232205,5.878141693472811
PLEIAData,B-room11-V2,6,XGBRegressor,EnbPI-updated,0.9,0.8656834603583095,0.03431653964169057,2.6656812416874054,2.8666269302368157,4.370682325719899
PLEIAData,B-room11-V2,6,XGBRegressor,EnbPI-updated,0.95,0.9260615658715233,0.023938434128476627,3.394632812351454,3.5712627410888693,5.449805290355006
