horizon,nominal_coverage,empirical_coverage,coverage_deviation,mean_interval_width,median_interval_width,winkler_score,n_valid,coverage_std,width_std,n_seeds
1,0.9,0.8904827859121488,0.009517214087851222,1.3304538426348989,1.2745756532249377,1.9883142383961534,10108,0.004748136754270633,0.011712018633972688,5
1,0.95,0.9372774040364068,0.012722595963593153,1.647553824422792,1.573963416990308,2.5099514567698447,10108,0.003730440613787016,0.026666524680287643,5
3,0.9,0.8875915297842866,0.012408470215713452,2.0067552580564807,1.9464144230388243,3.1137764835891817,10106,0.004003499141910129,0.009763831714128679,5
3,0.95,0.9481496140906392,0.0018503859093607078,2.5755553603268426,2.500014984264652,3.8614148665215464,10106,0.004960837111648316,0.05488503820216169,5
6,0.9,0.9010194991586657,0.0010194991586657265,2.713750173121387,2.657130918045624,3.9873398686844794,10103,0.007417226523215397,0.04294482883909278,5
6,0.95,0.9398198554884688,0.010180144511531153,3.3082265976408247,3.246015982584204,5.018666819183065,10103,0.003263415783033929,0.04151208892409094,5
