scenario,rule,conformal_method,nominal_coverage,horizon,true_positives,false_positives,false_negatives,precision,recall,f1,false_alert_events_per_day,mean_detection_delay_min,median_detection_delay_min,n_events
clean_test,3-of-5,CQR,0.95,1,,67,,,,,0.9544914918876138,,,0
injected_test,3-of-5,CQR,0.95,1,17.0,63,4.0,0.2125,0.8095238095238095,0.33663366336633666,0.8975069252077562,42.35294117647059,20.0,21
