horizon,quantity,mae,mae_ci_low,mae_ci_high,rmse,rmse_ci_low,rmse_ci_high,coverage,coverage_ci_low,coverage_ci_high,width,width_ci_low,width_ci_high
1,point:xgboost,0.3511569723764049,0.3344372871005115,0.37016387257879796,0.5067307025312783,0.4754330335995214,0.5409431477756195,,,,,,
1,CQR@0.9,,,,,,,0.8904827859121488,0.8786110011871785,0.9022581123862287,1.3304538426348989,1.2984258041008787,1.3671664756589403
1,CQR@0.95,,,,,,,0.9372774040364068,0.9290660862683023,0.9450929956470122,1.647553824422792,1.61516073412549,1.6870448400813176
3,point:xgboost,0.5316771750164202,0.5060298220228492,0.5591239068023572,0.7282952625552968,0.6817412698545595,0.7784020405171009,,,,,,
3,CQR@0.9,,,,,,,0.8875915297842866,0.8738373243617653,0.9009499307342173,2.0067552580564807,1.9698564271605448,2.0487630240643733
3,CQR@0.95,,,,,,,0.9481496140906392,0.9388457352068078,0.9572531169602216,2.5755553603268426,2.530347712075607,2.6293496926904223
6,point:xgboost,0.6999340361703048,0.6606749508478353,0.7403532454420715,0.9533226823711104,0.891307740472549,1.0236581787786303,,,,,,
6,CQR@0.9,,,,,,,0.9010194991586657,0.8847842225081659,0.9153766208057014,2.713750173121387,2.666246193357767,2.772170451692381
6,CQR@0.95,,,,,,,0.9398198554884688,0.9275437988716223,0.9511061070969019,3.3082265976408247,3.2613323387895026,3.3632065653635976
