horizon,variant,nominal_coverage,empirical_coverage,coverage_deviation,mean_interval_width,median_interval_width,winkler_score,n_valid,coverage_std,width_std,n_seeds,base_estimator
1,static,0.9,0.8449742777997625,0.05502572220023749,1.3068897451673216,1.3068897451673216,2.4213453058970313,10108,0.0035697701924552357,0.003580857977050908,3,XGBRegressor
1,static,0.95,0.9140284922833399,0.03597150771666002,1.7226946694510339,1.7226946694510339,3.05928772309507,10108,0.0014828734438673708,0.011503827182306366,3,XGBRegressor
1,updated,0.9,0.8834586466165414,0.016541353383458635,1.499357848950916,1.5499207973480225,2.3680243939183834,10108,0.0009466231430159103,0.0037247056839441904,3,XGBRegressor
1,updated,0.95,0.9399485555995252,0.010051444400474785,1.9608499130280406,2.009994888305666,2.9645038756399438,10108,0.0003642448561267015,0.021894273888166782,3,XGBRegressor
3,static,0.9,0.8011082525232535,0.09889174747674656,1.7602397547827842,1.7602397547827842,3.67799231398506,10106,0.007521297568690708,0.0035002861300490995,3,XGBRegressor
3,static,0.95,0.879873342568771,0.07012665743122892,2.297559112972685,2.297559112972685,4.671008449480793,10106,0.00702359345825247,0.025445851283476015,3,XGBRegressor
3,updated,0.9,0.8712645952899267,0.028735404710073298,2.1391414133048827,2.294279098510742,3.490526266396857,10106,0.002060359876870716,0.004572387720080151,3,XGBRegressor
3,updated,0.95,0.9278646348703741,0.022135365129625884,2.785494828315101,2.9791381835937507,4.351710681616092,10106,0.002102695092091694,0.008544041476155282,3,XGBRegressor
6,static,0.9,0.7951103632584381,0.10488963674156193,2.1531817807091578,2.1531817807091578,4.619347437917919,10103,0.0022801349491136185,0.007472221823874743,3,XGBRegressor
6,static,0.95,0.8766702959516975,0.07332970404830241,2.7730760892232214,2.7730760892232205,5.878141693472811,10103,0.0027647687043632573,0.021015097440825962,3,XGBRegressor
6,updated,0.9,0.8656834603583095,0.03431653964169057,2.6656812416874054,2.8666269302368157,4.370682325719899,10103,0.0019446582900513269,0.012706557120917415,3,XGBRegressor
6,updated,0.95,0.9260615658715233,0.023938434128476627,3.394632812351454,3.5712627410888693,5.449805290355006,10103,0.0011324030685097226,0.029337003445454667,3,XGBRegressor
