dataset,horizon,outer_fold,model_seed,model,role,candidate_id,phase,source_run,source_hash,protocol_hash,physical_minutes,target_units,original_runs,n,sample_weighted_bias,sample_weighted_mae,sample_weighted_rmse,equal_run_bias,equal_run_mae,equal_run_root_mean_mse
rico,5,2,42,persistence,test,-1,3.0,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,5,degrees C,6,1272,-0.06438679245283019,0.07775157232704404,0.1309436001303399,-0.06438679245283017,0.07775157232704404,0.13094360013033987
rico,5,2,42,persistence,test,-1,4.0,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,5,degrees C,34,7208,-0.004300776914539402,0.07458379578246394,0.12454133386220648,-0.004300776914539401,0.07458379578246392,0.12454133386220648
rico,5,2,42,xgboost,calibration,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,5,degrees C,21,4452,0.011559128225760126,0.0741006503315092,0.11471723672123724,0.011559128225760131,0.07410065033150921,0.11471723672123724
rico,5,2,42,xgboost,fit,1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,5,degrees C,61,12932,1.8005359294804095e-06,0.026368562849984636,0.03442093308834457,1.800535929480417e-06,0.026368562849984633,0.03442093308834457
rico,5,2,42,xgboost,inner0_validation,0,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,5,degrees C,20,4240,0.13059245100561187,0.16488105207119355,0.330773041805469,0.13059245100561184,0.16488105207119352,0.33077304180546896
rico,5,2,42,xgboost,inner0_validation,1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,5,degrees C,20,4240,0.0832086221227107,0.15950760103621575,0.3328669571909419,0.0832086221227107,0.15950760103621572,0.3328669571909419
rico,5,2,42,xgboost,inner1_validation,0,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,5,degrees C,21,4452,0.5515059244921906,0.6240494949155742,1.331790767291406,0.5515059244921909,0.624049494915574,1.331790767291406
rico,5,2,42,xgboost,inner1_validation,1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,5,degrees C,21,4452,0.5150792843355108,0.5825871325353192,1.2991093128237658,0.5150792843355108,0.5825871325353191,1.2991093128237658
rico,5,2,42,xgboost,test,-1,1.0,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,5,degrees C,1,212,-0.04611717260108802,0.05277362139719848,0.07013234016625142,-0.04611717260108802,0.05277362139719848,0.07013234016625142
rico,5,2,42,xgboost,test,-1,3.0,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,5,degrees C,6,1272,-0.022894081679530113,0.24603418644119354,0.31200226494184813,-0.0228940816795301,0.24603418644119357,0.3120022649418481
rico,5,2,42,xgboost,test,-1,4.0,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,5,degrees C,34,7208,0.10236945872036916,0.24865659471357307,0.4322699838338147,0.10236945872036918,0.248656594713573,0.43226998383381476
