dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,role,membership_hash,row_id_hash,origin_min,origin_max,target_min,target_max,groups,n,minimum,maximum,mean,std,median,q90,q95,q99,reference_role,below_reference_min,above_reference_max
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,inner0_train,5829454b8cc8ac6982c945339d4310a9a179cdd14bcd461b9599ce0e6d31a025,8b5377dedc5eef41e49d14b9d7048a8d4b20a24cc3f0213b3b402a19a9daf73e,2023-07-26 15:24:00,2023-07-30 22:45:00,2023-07-26 15:39:00,2023-07-30 23:00:00,20,4040,23.5,40.2,29.819084158415844,4.897992582625255,28.1,38.3,38.8,39.8,inner0_train,0.0,0.0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,inner0_validation,6649edb21bb9388ae4121dd285b20bb3005dcbe0c29f1f6f44aeabe295515229,e40b4a7e2ed7d0eff6a01bcacf6dd491fd4801938e5c53b8aeade8bf81122560,2023-07-30 23:24:00,2023-08-03 22:45:00,2023-07-30 23:39:00,2023-08-03 23:00:00,20,4040,21.7,39.6,29.02217821782178,4.713046796590532,28.1,37.4,39.3,39.5,inner0_train,0.0547029702970297,0.0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,inner1_train,f9a21800560e18a5ee7609e4a2a91977dcc135238791f272cd6cd8c2fe8fb273,9180db22b831fe0e7ca58b24616399502cd01d6e796e73eda4fa4cf2184cfcec,2023-07-26 15:24:00,2023-08-03 22:45:00,2023-07-26 15:39:00,2023-08-03 23:00:00,40,8080,21.7,40.2,29.420631188118815,4.822897002081909,28.1,38.1,38.8,39.5,inner1_train,0.0,0.0
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,inner1_validation,869e32a55876afd5037cfa569780a029ba6195f2b33156bd33c1e987f35d2fdc,57e398b6b31b811e1694aff2168883e9bc8e05d8adeeda9dcf5e072c177a184c,2023-08-03 23:24:00,2023-08-07 22:45:00,2023-08-03 23:39:00,2023-08-07 23:00:00,21,4242,16.0,39.6,26.21935407826497,4.959144279267999,26.0,33.3,35.5,39.3,inner1_train,0.2208863743517209,0.0
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,fit,3d3d4fbb4d8f672ec67c556a83ae19646d5a6de50b7cef115aeeb5cfb30d6489,6694a63ad907e314cbbc07e2400b311ddd6b4f95f7a83bc06ccbfbeb0182f11d,2023-07-26 15:24:00,2023-08-07 22:30:00,2023-07-26 15:54:00,2023-08-07 23:00:00,61,11407,16.0,40.2,28.310923117384057,5.169298091755293,27.4,37.4,38.7,39.5,fit,0.0,0.0
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,calibration,1342cd8dc9aab44620a5efca7a56fe3be333047033313391a9fdd3a20a8b7ca6,f9b289627840a6d96ddd5e6badfd891669d409792d950a9f947a49ad9da2cce1,2023-08-07 23:24:00,2023-08-12 02:30:00,2023-08-07 23:54:00,2023-08-12 03:00:00,21,3927,18.9,35.6,26.675070028011206,3.562368367673154,26.5,31.9,33.9,35.2,fit,0.0,0.0
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,test,4290f7193c9add8034e3beb246e9dc5ec1c5c7bc64043a75f4aef0370f2da91a,c55446a7da7e2c214397a68556bddc7f23f1100285beae4d6b6b40dd40de0584,2023-08-12 07:24:00,2024-02-04 10:30:00,2023-08-12 07:54:00,2024-02-04 11:00:00,41,7667,13.7,31.0,20.448506586670145,3.8701620741636167,19.3,25.0,28.9,30.4,fit,0.10838659188730924,0.0
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,inner0_train,198603de0d21c28b727a91bb36f1d71531516714d0ef322aad814988637b63aa,9d917672abf8233ef65c066aade1c65e97bc2f98f30ac865e3880f9148611e97,2023-07-26 15:24:00,2023-07-30 22:30:00,2023-07-26 15:54:00,2023-07-30 23:00:00,20,3740,23.5,40.2,29.79114973262032,4.938422344803551,28.1,38.4,38.8,39.8,inner0_train,0.0,0.0
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,inner0_validation,1587766cd9a1b662669f11a62c95e7d2fd19b24001ef93ceaa6cfb25ca8059b0,0097da66de91d3a060f37562847bdc9aac7b47a0108c449f7bb67c62b7b490ce,2023-07-30 23:24:00,2023-08-03 22:30:00,2023-07-30 23:54:00,2023-08-03 23:00:00,20,3740,21.7,39.6,29.027566844919786,4.785429865700933,27.9,37.5,39.3,39.5,inner0_train,0.05508021390374331,0.0
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,inner1_train,e8aa89ac449919910789c941c06679a8faba7d42a3be6a5e7d1c598619b933ac,39428fb6ae40555288f096d7afd6fd9eb71c9e5d48b714de4c1f38d81aebc06c,2023-07-26 15:24:00,2023-08-03 22:30:00,2023-07-26 15:54:00,2023-08-03 23:00:00,40,7480,21.7,40.2,29.409358288770054,4.877493396632742,28.0,38.2,38.9,39.5,inner1_train,0.0,0.0
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,inner1_validation,0c1086ba100d4a63d10c3054ddcf3d1803ca6464fc6960b4acbf90b625f25618,776e68499bf8cfa868629e2b39477d8a3b6a9656f0f716467b99404358cfdea4,2023-08-03 23:24:00,2023-08-07 22:30:00,2023-08-03 23:54:00,2023-08-07 23:00:00,21,3927,16.0,39.6,26.21866564807741,5.062616368441791,26.0,33.8,35.7,39.3,inner1_train,0.23478482302011713,0.0
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,fit,3b2ee7b2aa12c1ffb1d92fa0d145bb40ec7eda5553d5aea200e775ff319f45fe,917983dc467388ac885978e9b74c0f5ae88208d9e772efb9a39ac7017ffda1e5,2023-07-26 15:24:00,2023-08-07 22:00:00,2023-07-26 16:24:00,2023-08-07 23:00:00,61,9577,16.0,40.2,28.295071525529917,5.306838804711946,27.4,37.8,38.8,39.5,fit,0.0,0.0
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,calibration,19a46d1f1e763d33d1e2c9dbf5a850710435131d3255b74cb7409a8b19d08a11,4a3e49a4d097af747bc134411c84fb6696c6a47b21c1662b14e547fb2301bda0,2023-08-07 23:24:00,2023-08-12 02:00:00,2023-08-08 00:24:00,2023-08-12 03:00:00,21,3297,18.9,35.6,26.643312101910826,3.6761729843263184,26.4,32.0,34.3,35.3,fit,0.0,0.0
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,test,96e3e48ce62ca523eaae571b05e9ad301988a1f12a3ac66ae726426480decd2d,11822b6b9a8ddf1e52a552fb0d6807f186a45a3e449b33787f74c1ab55098a86,2023-08-12 07:24:00,2024-02-04 10:00:00,2023-08-12 08:24:00,2024-02-04 11:00:00,41,6437,13.7,31.0,20.47079384806587,3.9529878546017865,19.2,25.1,29.3,30.4,fit,0.11589249650458289,0.0
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,inner0_train,e1a9b7343d9985a4ced316edb7ca5ace194bf2d2e7e084f168c35f13e080aa6d,906ab9a1ce19f9094aefe6e85d3d493ca1b0ddbbfc4ec199202eb446fe8e10a3,2023-07-26 15:24:00,2023-07-30 22:00:00,2023-07-26 16:24:00,2023-07-30 23:00:00,20,3140,23.5,40.2,29.745668789808914,5.027088123216069,27.7,38.5,38.8,39.9,inner0_train,0.0,0.0
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,inner0_validation,39d39957ce206e9dc8190020883a07fd168cf109f8d1fef65ca5b15ba45f3e7b,406473e2a41452b02d46fde11295f5af4f59560a02cff20d21cc7edb15b284d6,2023-07-30 23:24:00,2023-08-03 22:00:00,2023-07-31 00:24:00,2023-08-03 23:00:00,20,3140,21.7,39.6,29.02452229299363,4.933480825142709,27.7,37.8,39.3,39.4,inner0_train,0.06464968152866242,0.0
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,inner1_train,c3047313f13abd432da4994930a13dcfbc9e03a7b7b859795cb091b4566b1a2c,1291fe31555aec90de912a6b974688464079c6c237fe80da5387b28dbf887b01,2023-07-26 15:24:00,2023-08-03 22:00:00,2023-07-26 16:24:00,2023-08-03 23:00:00,40,6280,21.7,40.2,29.385095541401274,4.993539535518135,27.7,38.3,38.9,39.5,inner1_train,0.0,0.0
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,inner1_validation,a6ae4c6f274995caa3ad0f21a8955eef12dc85407e9117f47e34988102374fe8,b2de499abb1d5fd66ddd772d071f835e97be3afc0f2f49bebe556b036ece718e,2023-08-03 23:24:00,2023-08-07 22:00:00,2023-08-04 00:24:00,2023-08-07 23:00:00,21,3297,16.0,39.6,26.218835304822566,5.266449750226643,26.1,34.3,36.2,39.4,inner1_train,0.2553836821352745,0.0
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,fit,082d3c719093d84e13379d5a2c367aacae289407ac707cb64d266f759ebb787b,a5da64445ac5f1af2fd4c56cb88650223d7690fede620e9a6758367516928aca,2021-01-08 00:00:00,2021-04-21 04:10:00,2021-01-08 00:10:00,2021-04-21 04:20:00,0,14858,15.0,28.6,20.120500740341903,2.339819231588579,20.3,23.0,23.4,25.4,fit,0.0,0.0
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,calibration,9eb8650e22c2484bd09a282820451387cd0610e0cf55aa2ec428816a260b5143,7794c3f938f5b39a6b7c298611ca6e5d91de32415f98091ff059cd97e6946b01,2021-04-21 04:40:00,2021-05-25 14:00:00,2021-04-21 04:50:00,2021-05-25 14:10:00,0,4953,17.5,29.6,24.09687058348476,2.1891783426386384,24.0,27.1,27.6,28.7,fit,0.0,0.010902483343428226
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,test,9873f938ec58b7643a4b9bb6625e3522fa47921a83ef136da20c6e62a17a410f,ca2d8ac2f6c4a85d87a0b3e689792f73277921d41eae2f48c6b4eb1e307d2a61,2021-05-25 14:20:00,2021-08-02 09:20:00,2021-05-25 14:30:00,2021-08-02 09:30:00,0,9907,21.8,33.4,28.939154133440997,1.9281015701582997,29.4,31.2,31.6,32.3,fit,0.0,0.6178459674977289
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,inner0_train,772e37103d6ec8c04ebb7c7e034fb82e77efacdfb42740094dd62aba1cdcbb46,9ff5cf13265f7071fd9c0761e23cbdb0a3b06a17108fe4c9e29d7b526dbb16f6,2021-01-08 00:00:00,2021-02-11 09:00:00,2021-01-08 00:10:00,2021-02-11 09:10:00,0,4951,15.0,23.6,19.91957180367602,2.2521478557352466,20.1,22.8,23.1,23.4,inner0_train,0.0,0.0
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,inner0_validation,3ee052b31b48d8aee119b1a1a23488da243b59b1055ebe21d22b810798c26df1,94101a1db88057481d0b93b3f6f6f8a0ba0768c95d5d786cc94219111fc8b01a,2021-02-11 09:20:00,2021-03-17 18:30:00,2021-02-11 09:30:00,2021-03-17 18:40:00,0,4952,15.0,26.6,20.12990710823909,2.253032454665267,20.1,23.2,23.6,24.8,inner0_train,0.0,0.038166397415185786
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,inner1_train,bc9acab132bf77c6fdb966545b0c1c36c2d8d40c0debf6ad9879832e8eed3f18,5bb7052421dc4dc1014d0183a0a86dc9346860360b70733932af01792401ebea,2021-01-08 00:00:00,2021-03-17 18:30:00,2021-01-08 00:10:00,2021-03-17 18:40:00,0,9903,15.0,26.6,20.024750075734623,2.255043910686273,20.1,23.0,23.3,23.9,inner1_train,0.0,0.0
