dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,model,estimator_class,saved_seed,artifact_directory,fitting_performed,existing_full_validation,new_identity_or_correctness_defect
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2/units/rico_h5_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2/units/rico_h5_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2/units/rico_h5_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2/units/bdg2_h1_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2/units/bdg2_h1_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2/units/bdg2_h1_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1/units/pleia_energy_h1_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1/units/pleia_energy_h1_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1/units/pleia_energy_h1_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1/units/pleia_energy_h3_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1/units/pleia_energy_h3_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1/units/pleia_energy_h3_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1/units/pleia_energy_h6_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1/units/pleia_energy_h6_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1/units/pleia_energy_h6_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1/units/rico_h15_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1/units/rico_h15_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1/units/rico_h15_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1/units/rico_h30_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1/units/rico_h30_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1/units/rico_h30_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1/units/rico_h60_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1/units/rico_h60_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
rico,60,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1313d1f837d1a817bae522e566b1ae780eac3779acb6c6ce8a1d3c571d0498f2,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/rico_h60_f2_s42_v1/units/rico_h60_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
bdg2,3,2,42,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1/units/bdg2_h3_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
bdg2,3,2,42,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1/units/bdg2_h3_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
bdg2,3,2,42,kWh per hour,180,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,9f6ebede3e1cdfa1160ebb06d88768caf7c37e45b8bec777807b19531e87a260,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h3_f2_s42_v1/units/bdg2_h3_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
bdg2,6,2,42,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1/units/bdg2_h6_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
bdg2,6,2,42,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1/units/bdg2_h6_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
bdg2,6,2,42,kWh per hour,360,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dcffb11d9ae7c3210ce7211cd66ccbe05e3e96c486c605648bf7838a00e07f2c,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/bdg2_h6_f2_s42_v1/units/bdg2_h6_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1/units/pleia_h1_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1/units/pleia_h1_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
pleia,1,2,42,degrees C,10,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,afeec26a5064a899df55a5081826d94b2ef6a3b5229ee6a692855ac3f89534e2,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/pleia_h1_f2_s42_v1/units/pleia_h1_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
pleia,3,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1/units/pleia_h3_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
pleia,3,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1/units/pleia_h3_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
pleia,3,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,8196306a329a6c9ca8326b0c397aea778201506a8cf246687569ae5edd3a0c84,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/pleia_h3_f2_s42_v1/units/pleia_h3_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
pleia,6,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ff4f03a56c5f3fee34466478e87f5f2f7fb26fcbfc1ef160d240ad250f347b1b,persistence,src.pilot_forecasters.Persistence,42,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1/units/pleia_h6_f2_s42_persistence,False,reused prior independent artifact/selection/support validation,False
pleia,6,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ff4f03a56c5f3fee34466478e87f5f2f7fb26fcbfc1ef160d240ad250f347b1b,xgboost,xgboost.sklearn.XGBRegressor,42,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1/units/pleia_h6_f2_s42_xgboost,False,reused prior independent artifact/selection/support validation,False
pleia,6,2,42,degrees C,60,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,ff4f03a56c5f3fee34466478e87f5f2f7fb26fcbfc1ef160d240ad250f347b1b,attention_lstm,src.attention_lstm.AttentionLSTM,42,smart_building_conformal/outputs/matched_forecasting005/pleia_h6_f2_s42_v1/units/pleia_h6_f2_s42_attention_lstm,False,reused prior independent artifact/selection/support validation,False
