dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,model,role,candidate_id,selected_candidate,prediction_source,aggregation,n,bias,mae,rmse,truth_mean,truth_min,truth_max,prediction_min,prediction_max
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,test,-1,1,saved prediction stream,sample weighted,8692,1.8951655246560826,2.2230605132449237,2.702293397046354,20.407857800276112,13.7,31.0,17.99043083190918,29.017024993896484
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,fit,1,1,new inference from unchanged saved final model,sample weighted,12932,-0.013459502850528668,0.08453568093665349,0.11171016840747575,28.323646767708013,16.0,40.2,16.349485397338867,40.016632080078125
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,inner0_validation,0,1,saved prediction stream,sample weighted,4240,1.6779287050355156,2.0817898998620374,3.002507660344902,29.01132075471698,21.7,39.6,24.29931640625,38.491641998291016
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,inner1_validation,0,1,saved prediction stream,sample weighted,4452,0.7690235587785829,1.0248417101994571,1.5912312295577198,26.22524707996406,16.0,39.6,20.880054473876953,37.845802307128906
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,inner0_validation,1,1,saved prediction stream,sample weighted,4240,1.2526674846433243,2.0004561722953365,3.212409850095983,29.01132075471698,21.7,39.6,23.511964797973633,38.600948333740234
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,attention_lstm,inner1_validation,1,1,saved prediction stream,sample weighted,4452,0.7094780246738046,0.9764398903002743,1.5178001364040454,26.22524707996406,16.0,39.6,20.680835723876953,37.944889068603516
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,persistence,calibration,-1,0,saved prediction stream,sample weighted,17370,-0.020241698330454826,20.350356102475534,37.9120862018173,285.520170771445,0.0,1461.181,0.0,1461.181
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,persistence,test,-1,0,saved prediction stream,sample weighted,34640,0.015155023094688245,20.987969087759815,41.67140770234165,269.55595863741337,0.0,1309.0,0.0,1309.0
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,xgboost,calibration,-1,1,saved prediction stream,sample weighted,17370,-0.3872785606377108,17.599521214609,32.45700066952006,285.520170771445,0.0,1461.181,-10.101949691772461,1320.4176025390625
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,xgboost,test,-1,1,saved prediction stream,sample weighted,34640,-0.18487675978667645,17.75433961896247,34.95834656737017,269.55595863741337,0.0,1309.0,-0.34158754348754883,1260.430908203125
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,attention_lstm,calibration,-1,0,saved prediction stream,sample weighted,17370,1.9236850272180943,19.380736374818124,33.456327370383775,285.520170771445,0.0,1461.181,-2.6248779296875,1300.417724609375
bdg2,1,2,42,kWh per hour,60,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,attention_lstm,test,-1,0,saved prediction stream,sample weighted,34640,1.3378538584283195,19.208323272641653,36.034969313698255,269.55595863741337,0.0,1309.0,-7.774322509765625,1222.7652587890625
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,persistence,calibration,-1,0,saved prediction stream,sample weighted,4953,-6.309307490409853e-06,0.021470573389864727,0.04093697430127151,0.11028038562487381,0.0,0.671875,0.0,0.671875
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,persistence,test,-1,0,saved prediction stream,sample weighted,9907,-2.2080347229231857e-05,0.12760863530836783,0.24188010063684087,0.33145992101544364,0.0,3.046875,0.0,3.046875
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,xgboost,calibration,-1,0,saved prediction stream,sample weighted,4953,0.03616185138532664,0.04292053960349472,0.08261522393824858,0.11028038562487381,0.0,0.671875,0.05098068714141846,0.6310535073280334
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,xgboost,test,-1,0,saved prediction stream,sample weighted,9907,0.010384877708794022,0.12377272844555232,0.21441656372173365,0.33145992101544364,0.0,3.046875,0.05297897383570671,1.832581639289856
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,attention_lstm,calibration,-1,0,saved prediction stream,sample weighted,4953,0.012750936919165554,0.02532046051331537,0.03864221037673298,0.11028038562487381,0.0,0.671875,0.06379127502441406,0.4946696162223816
pleia_energy,1,2,42,kWh per 10 minutes,10,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h1_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,7c23adb6f9815cd9e08f59c1ae4d7cf37f0cc5eb3a25efede0b901b902eb75bd,attention_lstm,test,-1,0,saved prediction stream,sample weighted,9907,-0.007878067786558564,0.12046819212964437,0.22024027508302332,0.33145992101544364,0.0,3.046875,0.08027422428131104,1.3837882280349731
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,persistence,calibration,-1,0,saved prediction stream,sample weighted,4952,-1.1043517770597738e-05,0.019652728695476573,0.03934372841670234,0.11027741316639741,0.0,0.671875,0.0,0.671875
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,persistence,test,-1,0,saved prediction stream,sample weighted,9907,-9.463005955385082e-05,0.13126135560714647,0.257541502923049,0.33145992101544364,0.0,3.046875,0.0,3.046875
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,xgboost,calibration,-1,0,saved prediction stream,sample weighted,4952,0.02384891485274801,0.03402649541122174,0.05612576453549798,0.11027741316639741,0.0,0.671875,0.0628110021352768,0.5434229969978333
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,xgboost,test,-1,0,saved prediction stream,sample weighted,9907,-0.016738559822102084,0.1194715031413368,0.22614617294253928,0.33145992101544364,0.0,3.046875,0.0588819645345211,1.7235653400421143
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,attention_lstm,calibration,-1,0,saved prediction stream,sample weighted,4952,0.01835549001089976,0.03009217891462978,0.04560697832371556,0.11027741316639741,0.0,0.671875,0.07683217525482178,0.5304073691368103
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,attention_lstm,test,-1,0,saved prediction stream,sample weighted,9907,-0.02450639049484882,0.12752749631524482,0.2402362233179673,0.33145992101544364,0.0,3.046875,0.08410447835922241,1.1816425323486328
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,persistence,calibration,-1,0,saved prediction stream,sample weighted,4951,-2.0513532619672794e-05,0.020489863158957785,0.04101788856453631,0.11026654968693193,0.0,0.671875,0.0,0.671875
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,persistence,test,-1,0,saved prediction stream,sample weighted,9907,-0.0001916258705965479,0.12998936988997678,0.25754481604675455,0.33145992101544364,0.0,3.046875,0.0,3.046875
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,xgboost,calibration,-1,0,saved prediction stream,sample weighted,4951,0.011847425316155884,0.03132333726569682,0.05025249007108438,0.11026654968693193,0.0,0.671875,0.04401729628443718,0.45883816480636597
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,xgboost,test,-1,0,saved prediction stream,sample weighted,9907,-0.03762649526465934,0.1287675866078985,0.2461221827631574,0.33145992101544364,0.0,3.046875,0.04759329929947853,1.6897525787353516
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,attention_lstm,calibration,-1,0,saved prediction stream,sample weighted,4951,0.05293838453158011,0.057795756298035135,0.0698214850996159,0.11026654968693193,0.0,0.671875,0.09769916534423828,0.4517696499824524
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,attention_lstm,test,-1,0,saved prediction stream,sample weighted,9907,2.8727931669240428e-05,0.1568325963892224,0.26239633956243075,0.33145992101544364,0.0,3.046875,0.13255274295806885,1.0016181468963623
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,persistence,calibration,-1,0,saved prediction stream,sample weighted,4242,0.02555398396982557,0.2507779349363508,0.4078438839352214,26.690334747760488,18.9,35.6,18.9,35.4
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,persistence,test,-1,0,saved prediction stream,sample weighted,8282,-0.03901231586573291,0.20938179183772038,0.33076021266260025,20.42777106978991,13.7,31.0,13.7,30.8
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,persistence,fit,0,0,new inference from unchanged saved final model,sample weighted,12322,0.012790131472163617,0.32048368771303354,0.5467244688715213,28.318552183087164,16.0,40.2,16.1,40.1
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,persistence,inner0_validation,-1,0,deterministic persistence on identical existing inner rows,sample weighted,4040,-0.019579207920792076,0.2869554455445545,0.5096324631778794,29.02217821782178,21.7,39.6,21.7,39.5
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,persistence,inner1_validation,-1,0,deterministic persistence on identical existing inner rows,sample weighted,4242,0.011692597831211689,0.3877416313059877,0.6607683439281702,26.21935407826497,16.0,39.6,16.1,39.5
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,xgboost,calibration,-1,1,saved prediction stream,sample weighted,4242,0.06480091882729971,0.17690000205824594,0.2816317952651039,26.690334747760488,18.9,35.6,18.819793701171875,35.38576126098633
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,xgboost,test,-1,1,saved prediction stream,sample weighted,8282,0.19712410825256335,0.4244604439586869,0.6166621338996906,20.42777106978991,13.7,31.0,16.28367805480957,31.02646255493164
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,xgboost,fit,1,1,new inference from unchanged saved final model,sample weighted,12322,6.72615768267041e-05,0.031224475149171104,0.04116059800763251,28.318552183087164,16.0,40.2,16.063743591308594,40.18528366088867
