dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,model,role,candidate_id,selected_candidate,prediction_source,group_id,aggregation,n,bias,mae,rmse,truth_mean,truth_min,truth_max,prediction_min,prediction_max,phase
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S87,within original group,212,-0.048113207547169794,0.048113207547169794,0.07830756969602687,26.230188679245277,24.8,26.7,24.6,26.7,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S89,within original group,212,0.07547169811320752,0.07547169811320752,0.09905211130872968,27.12452830188679,26.1,29.2,26.1,29.4,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S91,within original group,212,-0.00660377358490567,0.02547169811320766,0.050469493868284206,27.91792452830189,27.5,28.1,27.4,28.1,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S92,within original group,212,0.09245283018867922,0.09245283018867922,0.10772081314632587,24.82735849056604,23.3,27.1,23.3,27.3,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S93,within original group,212,-0.21698113207547168,0.21698113207547168,0.28648817025858714,32.38160377358491,26.2,34.9,25.4,34.9,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S94,within original group,212,0.04198113207547176,0.05330188679245275,0.09085547303895382,32.107547169811326,31.8,33.5,31.8,33.8,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S95,within original group,212,0.20283018867924535,0.20283018867924535,0.29235543113341944,20.943396226415093,18.9,27.1,18.9,27.8,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S96,within original group,212,-0.03773584905660376,0.03867924528301883,0.062192640467356584,20.1372641509434,19.3,20.9,19.2,20.9,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S98,within original group,212,-0.18396226415094338,0.18396226415094338,0.2895995934532745,33.83773584905661,28.4,35.6,27.3,35.5,1.0
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,-1,0,saved prediction stream,P1S99,within original group,212,0.1650943396226415,0.1650943396226415,0.23771713014056048,26.544339622641512,24.8,31.4,24.8,32.1,1.0
