dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,model,role,nominal_level,block_kind,block,n,original_groups,frozen_radius,coverage,absolute_error_exceedance,bias,mae,rmse
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,0.9,original group,P1S86,212,1,0.1999999999999993,1.0,0.0,0.0509433962264151,0.0509433962264151,0.07137464271463298
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,0.9,original group,P1S87,212,1,0.1999999999999993,0.9905660377358491,0.009433962264150943,-0.048113207547169794,0.048113207547169794,0.07830756969602687
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,0.9,original group,P1S89,212,1,0.1999999999999993,0.9811320754716981,0.018867924528301886,0.07547169811320752,0.07547169811320752,0.09905211130872968
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,0.9,original group,P1S91,212,1,0.1999999999999993,1.0,0.0,-0.00660377358490567,0.02547169811320766,0.050469493868284206
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,0.9,original group,P1S92,212,1,0.1999999999999993,0.9811320754716981,0.018867924528301886,0.09245283018867922,0.09245283018867922,0.10772081314632587
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,0.9,original group,P1S93,212,1,0.1999999999999993,0.6698113207547169,0.37264150943396224,-0.21698113207547168,0.21698113207547168,0.28648817025858714
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,0.9,original group,P1S94,212,1,0.1999999999999993,0.9622641509433962,0.07075471698113207,0.04198113207547176,0.05330188679245275,0.09085547303895382
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,0.9,original group,P1S95,212,1,0.1999999999999993,0.6745283018867925,0.32547169811320753,0.20283018867924535,0.20283018867924535,0.29235543113341944
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,0.9,original group,P1S96,212,1,0.1999999999999993,1.0,0.0,-0.03773584905660376,0.03867924528301883,0.062192640467356584
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,0.9,original group,P1S98,212,1,0.1999999999999993,0.7641509433962265,0.28773584905660377,-0.18396226415094338,0.18396226415094338,0.2895995934532745
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,calibration,0.9,original group,P1S99,212,1,0.1999999999999993,0.7688679245283019,0.23113207547169812,0.1650943396226415,0.1650943396226415,0.23771713014056048
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,calendar month,2023-08,212,1,0.1999999999999993,0.9952830188679245,0.0047169811320754715,-0.0509433962264151,0.0509433962264151,0.0733304745011652
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,calendar month,2024-01,4059,20,0.1999999999999993,0.9376693766937669,0.06282335550628233,-0.02106430155210643,0.07018970189701897,0.1161401910466349
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,calendar month,2024-02,4421,21,0.1999999999999993,0.91630852748247,0.08369147251752997,-0.006197692829676541,0.0795295182085501,0.13355745319779874
rico,5,2,42,degrees C,5,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,persistence,test,0.9,original group,P1S101,212,1,0.1999999999999993,0.9952830188679245,0.0047169811320754715,-0.0509433962264151,0.0509433962264151,0.0733304745011652
