dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,model,n_fit,n_calibration,n_test,mae,rmse,selected_candidate,final_epochs,estimator_class,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_rows_per_second,model_phase_seconds,process_cpu_seconds,cpu_measurement_status,coverage90,mpiw90,winkler90,rank90,q90,coverage_deviation90,coverage95,mpiw95,winkler95,rank95,q95,coverage_deviation95
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,True,xgboost,14855,4952,9907,0.1194715031413368,0.22614617294253928,0,,xgboost.sklearn.XGBRegressor,2.8498349000001326,0.655691800006025,0.045407899997371715,0.09316620000026887,106336.84748300788,3.644100800003798,3.578125,measured,0.6820429998990613,0.19844549894332886,1.553191707195494,4458,0.09922274947166443,-0.21795700010093877,0.7359442818209347,0.2602016031742096,2.6116582523522616,4706,0.1301008015871048,-0.2140557181790652
pleia_energy,3,2,42,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,45c20ac2ea3ebec21844295e8ee7adc51484f1134040e1864ee0068833924297,True,attention_lstm,14855,4952,9907,0.12752749631524482,0.2402362233179673,0,7.0,src.attention_lstm.AttentionLSTM,61.08946960000321,14.463546699997096,0.18376969999371795,0.3676936000047135,26943.629151752983,76.10447959999874,73.84375,measured,0.5655597052589079,0.13233381509780884,1.787407805721828,4458,0.06616690754890442,-0.33444029474109216,0.6591299081457556,0.1859319806098938,3.0860990094370835,4706,0.0929659903049469,-0.2908700918542444
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,True,persistence,14850,4951,9907,0.12998936988997678,0.25754481604675455,0,,src.pilot_forecasters.Persistence,0.0,0.0005238000012468547,0.0027391000039642677,0.004077700003108475,2429555.875235497,0.007340600008319598,0.0,measured,0.5607146462097506,0.078125,2.156516541334411,4457,0.0390625,-0.3392853537902494,0.6406581205208438,0.125,3.899036035126675,4705,0.0625,-0.30934187947915615
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,True,xgboost,14850,4951,9907,0.1287675866078985,0.2461221827631574,0,,xgboost.sklearn.XGBRegressor,2.9332208999985596,0.6629197999936878,0.05039050000050338,0.09787130000040634,101224.77171508776,3.744402499993157,3.703125,measured,0.6169375189260119,0.14787453413009644,1.813980611755074,4457,0.07393726706504822,-0.2830624810739881,0.6847683456142122,0.2103307843208313,3.108883889120713,4705,0.10516539216041565,-0.2652316543857878
pleia_energy,6,2,42,kWh per 10 minutes,60,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h6_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,2209e00bc338132a6a2a2933be0893ff9f893cbddb45082541941604ab05632b,True,attention_lstm,14850,4951,9907,0.1568325963892224,0.26239633956243075,0,5.0,src.attention_lstm.AttentionLSTM,49.06831029999739,10.397435900005803,0.19307669999398058,0.41387530000065453,23937.16174892373,60.07269819999783,58.953125,measured,0.5880690420914505,0.20918864011764526,1.774322251041638,4457,0.10459432005882263,-0.3119309579085495,0.6448975471888564,0.23959028720855713,3.1375937770495206,4705,0.11979514360427856,-0.30510245281114357
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,persistence,12322,4242,8282,0.20938179183772038,0.33076021266260025,0,,src.pilot_forecasters.Persistence,0.0,0.0008008000004338101,0.002819699999236036,0.004285000002710149,1932788.7969105847,0.007905500002379995,0.015625,measured,0.9153586090316349,1.0,1.658295097802463,3819,0.5,0.015358609031634884,0.9629316590195605,1.6000000000000014,2.1462448683892776,4031,0.8000000000000007,0.012931659019560504
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,xgboost,12322,4242,8282,0.4244604439586869,0.6166621338996906,1,,xgboost.sklearn.XGBRegressor,3.4355953999984195,1.7844410999969114,0.08020929999474902,0.15021739999792771,55133.42662111215,5.4504631999880075,5.3125,measured,0.6016662641873943,0.7542602539062528,4.460707377120791,3819,0.3771301269531264,-0.2983337358126057,0.8117604443371167,1.5278099060058565,4.6402000202472875,4031,0.7639049530029283,-0.13823955566288326
rico,15,2,42,degrees C,15,smart_building_conformal/outputs/matched_forecasting005/rico_h15_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,03d1d452482977385b92c01bd2a2ba832e17ca51725e86b5a2d03b6d5399184a,True,attention_lstm,12322,4242,8282,2.382613208966968,2.86615015691731,1,16.0,src.attention_lstm.AttentionLSTM,95.37711919999856,29.80647339999996,0.19235240000125486,0.37402429999929154,22142.946327326026,125.74996929999907,123.171875,measured,0.15225790871770103,1.386624908447267,36.229294898653336,3819,0.6933124542236335,-0.747742091282299,0.17797633421878772,1.5523620605468764,68.46653170554534,4031,0.7761810302734382,-0.7720236657812123
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,persistence,11407,3927,7667,0.38969610016955786,0.5994280130858491,0,,src.pilot_forecasters.Persistence,0.0,0.0005384999967645854,0.0028848000001744367,0.004305299997213297,1780828.2825732562,0.007728599994152319,0.015625,measured,0.921612103821573,2.0,3.0014347202295553,3536,1.0,0.02161210382157297,0.9641319942611191,3.0,3.8623972870744745,3732,1.5,0.014131994261119107
rico,30,2,42,degrees C,30,smart_building_conformal/outputs/matched_forecasting005/rico_h30_f2_s42_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,1ad851efbc64721175170cedc494487931981286fb015270b140f28c8c0a751b,True,xgboost,11407,3927,7667,0.6456994589201953,0.9054184288208361,1,,xgboost.sklearn.XGBRegressor,3.2230259999996633,1.2021987000043737,0.07050300000264542,0.13492669999686768,56823.4456203108,4.63065440000355,4.53125,measured,0.6884048519629581,1.4331306457519517,5.652209475940068,3536,0.7165653228759759,-0.21159514803704194,0.8494848050084779,2.4165054321289006,6.751449154482784,3732,1.2082527160644503,-0.10051519499152206
