model,mae,rmse,n,negative_predictions,verified
persistence,0.38969610016955786,0.5994280130858491,7667,0,True
xgboost,0.6355618866571815,0.8801031266387784,7667,0,True
attention_lstm,3.0856091811415336,3.4916280973718963,7667,0,True
