control_id,rule_id,channel,family,severity,scheduled,effective,null,aliases,effective_contexts,supported,recall,misses,detected,detected_delay_median,detected_delay_q90,restricted_mean_detection_minutes
cqr_rolling,180min_3of18,availability_only,random_missing,0.5,136,58,78,78,46,True,0.07608695652173914,54,4,35.0,47.0,104.23913043478261
cqr_rolling,180min_3of18,availability_only,random_missing,1.0,136,94,42,52,64,True,0.09375,84,10,45.0,50.0,103.75
cqr_rolling,180min_3of18,availability_only,random_missing,2.0,136,127,9,17,67,True,0.5597014925373134,56,71,40.0,50.0,69.1044776119403
cqr_rolling,180min_3of18,availability_only,block_missing,0.5,136,136,0,71,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,block_missing,1.0,136,136,0,70,68,True,1.0,0,136,30.0,30.0,30.0
cqr_rolling,180min_3of18,availability_only,block_missing,2.0,136,136,0,68,68,True,1.0,0,136,20.0,20.0,20.0
cqr_rolling,180min_3of18,availability_only,stuck,0.5,136,136,0,68,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,stuck,1.0,136,136,0,77,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,stuck,2.0,136,136,0,68,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,dropout,0.5,136,136,0,68,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,dropout,1.0,136,136,0,68,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,dropout,2.0,136,136,0,68,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,bias,0.5,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,bias,1.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,bias,2.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,level_shift,0.5,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,level_shift,1.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,level_shift,2.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,drift,0.5,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,drift,1.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,availability_only,drift,2.0,136,136,0,0,68,True,0.0,136,0,,,110.0
cqr_rolling,180min_3of18,combined,random_missing,0.5,136,58,78,78,46,True,0.18478260869565216,46,12,45.0,106.00000000000001,97.71739130434783
cqr_rolling,180min_3of18,combined,random_missing,1.0,136,94,42,52,64,True,0.1640625,78,16,50.0,75.0,100.78125
cqr_rolling,180min_3of18,combined,random_missing,2.0,136,127,9,17,67,True,0.4925373134328358,67,60,40.0,50.0,74.25373134328358
cqr_rolling,180min_3of18,combined,block_missing,0.5,136,136,0,71,68,True,0.1323529411764706,118,18,40.0,100.0,102.20588235294117
cqr_rolling,180min_3of18,combined,block_missing,1.0,136,136,0,70,68,True,0.8382352941176471,22,114,30.0,30.0,41.76470588235294
cqr_rolling,180min_3of18,combined,block_missing,2.0,136,136,0,68,68,True,0.8235294117647058,24,112,20.0,20.0,34.85294117647059
cqr_rolling,180min_3of18,combined,stuck,0.5,136,136,0,68,68,True,0.04411764705882353,130,6,60.0,80.0,107.94117647058823
cqr_rolling,180min_3of18,combined,stuck,1.0,136,136,0,77,68,True,0.058823529411764705,128,8,70.0,80.0,106.91176470588235
cqr_rolling,180min_3of18,combined,stuck,2.0,136,136,0,68,68,True,0.04411764705882353,130,6,80.0,90.0,107.79411764705883
cqr_rolling,180min_3of18,combined,dropout,0.5,136,136,0,68,68,True,0.8088235294117647,26,110,40.0,40.0,52.64705882352941
cqr_rolling,180min_3of18,combined,dropout,1.0,136,136,0,68,68,True,0.8382352941176471,22,114,30.0,30.0,41.76470588235294
cqr_rolling,180min_3of18,combined,dropout,2.0,136,136,0,68,68,True,0.8235294117647058,24,112,20.0,20.0,34.85294117647059
cqr_rolling,180min_3of18,combined,bias,0.5,136,136,0,0,68,True,0.13970588235294118,117,19,30.0,72.0,100.1470588235294
cqr_rolling,180min_3of18,combined,bias,1.0,136,136,0,0,68,True,0.3382352941176471,90,46,30.0,45.0,83.8970588235294
cqr_rolling,180min_3of18,combined,bias,2.0,136,136,0,0,68,True,0.47058823529411764,72,64,30.0,50.0,74.11764705882354
cqr_rolling,180min_3of18,combined,level_shift,0.5,136,136,0,0,68,True,0.20588235294117646,108,28,20.0,80.0,94.19117647058823
cqr_rolling,180min_3of18,combined,level_shift,1.0,136,136,0,0,68,True,0.34558823529411764,89,47,20.0,53.999999999999986,80.73529411764706
cqr_rolling,180min_3of18,combined,level_shift,2.0,136,136,0,0,68,True,0.5,68,68,20.0,63.00000000000004,68.8970588235294
cqr_rolling,180min_3of18,combined,drift,0.5,136,136,0,0,68,True,0.08088235294117647,125,11,80.0,100.0,106.32352941176471
cqr_rolling,180min_3of18,combined,drift,1.0,136,136,0,0,68,True,0.25,102,34,50.0,63.999999999999986,94.41176470588235
cqr_rolling,180min_3of18,combined,drift,2.0,136,136,0,0,68,True,0.4411764705882353,76,60,40.0,51.000000000000014,80.07352941176471
cqr_rolling,180min_3of18,numerical_only,random_missing,0.5,136,58,78,78,46,True,0.043478260869565216,54,4,70.0,80.0,108.26086956521739
