epoch,train_mse,validation_mae
1,0.3570538623458746,1.1836833996221552
2,0.1288481828744877,1.09390769151652
3,0.11561422658005728,1.0505198967523013
4,0.10267834193714938,0.9753361204283097
5,0.08300445051595817,0.8300555814678533
6,0.06769194990426587,0.7833290102408428
7,0.054397242485814956,0.7299500456438831
8,0.04824061860818865,0.7432731931321492
9,0.0444544088834467,0.6801463533350459
10,0.04106757329238117,0.6499748306813593
11,0.03776575155567485,0.682364296410073
12,0.03572351256745563,0.625720858316359
13,0.033369391507825,0.59342909655506
14,0.03203327939260313,0.6161034188037086
15,0.02975615199894119,0.5621482378494133
16,0.02856354163146302,0.5797345110312188
17,0.02660186793927831,0.5961669063423691
18,0.026282084953267427,0.545517236804914
19,0.025329635301130037,0.5830059365008228
20,0.025449872917671024,0.5362268116472948
21,0.025049113898957878,0.571572994499842
22,0.024634084852430207,0.5238608837560956
23,0.023980885412372886,0.5297802158222844
24,0.023581535666654472,0.5037478869735202
25,0.023182929755347897,0.5323041915893555
26,0.02338233504826104,0.5187196927982891
27,0.022620322194433707,0.5323863224258693
28,0.02260865049379333,0.5179532227764101
29,0.02219423023698939,0.5011989247082822
30,0.022012886074021392,0.5009749345235426
