dataset,horizon,outer_fold,model_seed,point_cells,interval_cells,old_source_hash,old_protocol_hash,current_role_bank_hash,models_refitted,compatibility
pleia,1,0,42,3,6,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,ce60f95a1a70cde2d8d0f3998391770c89bf5c6b0f3217c0a2545249653b4762,0,read-only historical validator and exact new-role equality; old source identity retained
pleia,3,0,42,3,6,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,cde97dc58725844b7e46b83147c5f50fc26dfd453ef5fbe1a82ee8c14cc7c4a0,0,read-only historical validator and exact new-role equality; old source identity retained
pleia,6,0,42,3,6,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,e0ab4a35f481da2e3e4589f45de078eb337e279566332f0e670287c2a94c8a80,0,read-only historical validator and exact new-role equality; old source identity retained
