role,n,maximum_prediction_difference,owner_sha256
calibration,4951,0.0,ce1c277a0577d9a537012c6d0b26e0a995afcc4fcc21e5886bc482d1328d5798
test,9907,0.0,ce1c277a0577d9a537012c6d0b26e0a995afcc4fcc21e5886bc482d1328d5798
