left,right,n_left,n_right,left_origin_min,left_origin_max,left_target_max,right_origin_min,right_origin_max,right_target_min,right_target_max,target_overlap_count,row_overlap_count,shared_groups,run_intersections,left_membership_sha256,right_membership_sha256
fit,calibration,14855,4952,2021-01-07 23:30:00,2021-04-21 03:10:00,2021-04-21 03:40:00,2021-04-21 04:00:00,2021-05-25 13:10:00,2021-04-21 04:30:00,2021-05-25 13:40:00,0,0,,0,9fc9e18746429e574996b5d318c420366de84a249898bc72faa113826ebf5288,314903ce4f8c8409c5417c2d6b829e4549971bebc3d6a0dc881d54aa3c565364
calibration,test,4952,9907,2021-04-21 04:00:00,2021-05-25 13:10:00,2021-05-25 13:40:00,2021-05-25 13:50:00,2021-08-02 08:50:00,2021-05-25 14:20:00,2021-08-02 09:20:00,0,0,,0,314903ce4f8c8409c5417c2d6b829e4549971bebc3d6a0dc881d54aa3c565364,f7a8b2ab436b98d9e3c4127b8c0c687d2944e7cc7512d2ddf6c76666e097c7ea
inner0_train,inner0_validation,4948,4949,2021-01-07 23:30:00,2021-02-11 08:00:00,2021-02-11 08:30:00,2021-02-11 08:40:00,2021-03-17 17:20:00,2021-02-11 09:10:00,2021-03-17 17:50:00,0,0,,0,ebf7520964f58026cc222578bba1f1d2a33b67198299f1c5bba1566bd6784377,2aa22d1ba1125056fdd68d6b2027eacd834f9664eaae2b53cff2a9faa7ddf126
inner1_train,inner1_validation,9897,4952,2021-01-07 23:30:00,2021-03-17 17:20:00,2021-03-17 17:50:00,2021-03-17 18:00:00,2021-04-21 03:10:00,2021-03-17 18:30:00,2021-04-21 03:40:00,0,0,,0,78a72344eb383f72004edb224f83c552a272dfeaffbb94ff79fcbecf0505fce1,5e7ec7b15735ad3fbb7d39223dba2b0d10397023ec6e05681ca69c5b3cfa1106
