model,mae,rmse,n,negative_predictions,verified
persistence,73.28396772228638,119.92957137497905,34640,0,True
xgboost,34.24959597998653,66.89004498068873,34640,150,True
attention_lstm,40.14975309303125,76.80445089540677,34640,2,True
