role,n,maximum_prediction_difference,owner_sha256
calibration,4952,0.0,eb5c4e75aa43e2cefeb58c106d6d60613654cfdbfa13cf597b8a05fffc838bdf
test,9907,0.0,eb5c4e75aa43e2cefeb58c106d6d60613654cfdbfa13cf597b8a05fffc838bdf
