run_id,file,phase,step,n_samples,start,end,duration_min,accepted,reason_excluded,target_missing_fraction,target_std
P1S0,RICO_Acquisition_1_07-2023.hdf,1,0,0,2023-07-26 11:01:00,2023-07-26 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S1,RICO_Acquisition_1_07-2023.hdf,1,1,240,2023-07-26 15:01:00,2023-07-26 19:00:00,240.0,True,,0.0,2.316943683707656
P1S2,RICO_Acquisition_1_07-2023.hdf,1,2,240,2023-07-26 19:01:00,2023-07-26 23:00:00,240.0,True,,0.0,3.1458829440886626
P1S3,RICO_Acquisition_1_07-2023.hdf,1,3,0,2023-07-26 23:01:00,2023-07-27 03:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S4,RICO_Acquisition_1_07-2023.hdf,1,4,240,2023-07-27 03:01:00,2023-07-27 07:00:00,240.0,True,,0.0,2.829121818690922
P1S5,RICO_Acquisition_1_07-2023.hdf,1,5,240,2023-07-27 07:01:00,2023-07-27 11:00:00,240.0,True,,0.0,2.2508004155100587
P1S6,RICO_Acquisition_1_07-2023.hdf,1,6,0,2023-07-27 11:01:00,2023-07-27 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S7,RICO_Acquisition_1_07-2023.hdf,1,7,240,2023-07-27 15:01:00,2023-07-27 19:00:00,240.0,True,,0.0,2.3360261409286096
P1S8,RICO_Acquisition_1_07-2023.hdf,1,8,240,2023-07-27 19:01:00,2023-07-27 23:00:00,240.0,True,,0.0,2.142999330309534
P1S9,RICO_Acquisition_1_07-2023.hdf,1,9,240,2023-07-27 23:01:00,2023-07-28 03:00:00,240.0,True,,0.0,2.61337083342007
P1S10,RICO_Acquisition_1_07-2023.hdf,1,10,240,2023-07-28 03:01:00,2023-07-28 07:00:00,240.0,True,,0.0,1.2703187505636029
P1S11,RICO_Acquisition_1_07-2023.hdf,1,11,240,2023-07-28 07:01:00,2023-07-28 11:00:00,240.0,True,,0.0,0.10271675723840465
P1S12,RICO_Acquisition_1_07-2023.hdf,1,12,240,2023-07-28 11:01:00,2023-07-28 15:00:00,240.0,True,,0.0,2.4584743358375953
P1S13,RICO_Acquisition_1_07-2023.hdf,1,13,240,2023-07-28 15:01:00,2023-07-28 19:00:00,240.0,True,,0.0,1.4219135750051126
P1S14,RICO_Acquisition_1_07-2023.hdf,1,14,240,2023-07-28 19:01:00,2023-07-28 23:00:00,240.0,True,,0.0,3.431684119001644
P1S15,RICO_Acquisition_1_07-2023.hdf,1,15,240,2023-07-28 23:01:00,2023-07-29 03:00:00,240.0,True,,0.0,0.464852333296574
P1S16,RICO_Acquisition_1_07-2023.hdf,1,16,240,2023-07-29 03:01:00,2023-07-29 07:00:00,240.0,True,,0.0,0.9060765536421148
P1S17,RICO_Acquisition_1_07-2023.hdf,1,17,240,2023-07-29 07:01:00,2023-07-29 11:00:00,240.0,True,,0.0,0.3143155766573277
P1S18,RICO_Acquisition_1_07-2023.hdf,1,18,0,2023-07-29 11:01:00,2023-07-29 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S19,RICO_Acquisition_1_07-2023.hdf,1,19,0,2023-07-29 15:01:00,2023-07-29 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S20,RICO_Acquisition_1_07-2023.hdf,1,20,240,2023-07-29 19:01:00,2023-07-29 23:00:00,240.0,True,,0.0,0.45754464918432886
P1S21,RICO_Acquisition_1_07-2023.hdf,1,21,240,2023-07-29 23:01:00,2023-07-30 03:00:00,240.0,True,,0.0,1.388264973763281
P1S22,RICO_Acquisition_1_07-2023.hdf,1,22,240,2023-07-30 03:01:00,2023-07-30 07:00:00,240.0,True,,0.0,0.21256059928453536
P1S23,RICO_Acquisition_1_07-2023.hdf,1,23,240,2023-07-30 07:01:00,2023-07-30 11:00:00,240.0,True,,0.0,1.0582053041966133
P1S24,RICO_Acquisition_1_07-2023.hdf,1,24,0,2023-07-30 11:01:00,2023-07-30 15:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S25,RICO_Acquisition_1_07-2023.hdf,1,25,0,2023-07-30 15:01:00,2023-07-30 19:00:00,240.0,False,no sample flagged normal (Flag==1) by the authors,,
P1S26,RICO_Acquisition_1_07-2023.hdf,1,26,240,2023-07-30 19:01:00,2023-07-30 23:00:00,240.0,True,,0.0,0.4081722706290326
