horizon,partition,n_rows,n_groups,origin_start,origin_end
5,train,27404,124,2023-07-26 15:15:00,2024-02-04 14:55:00
5,calibration,9061,41,2024-02-04 15:15:00,2024-05-11 06:55:00
5,test,9282,42,2024-05-11 07:15:00,2024-05-18 06:55:00
15,train,26164,124,2023-07-26 15:15:00,2024-02-04 14:45:00
15,calibration,8651,41,2024-02-04 15:15:00,2024-05-11 06:45:00
15,test,8862,42,2024-05-11 07:15:00,2024-05-18 06:45:00
30,train,24304,124,2023-07-26 15:15:00,2024-02-04 14:30:00
30,calibration,8036,41,2024-02-04 15:15:00,2024-05-11 06:30:00
30,test,8232,42,2024-05-11 07:15:00,2024-05-18 06:30:00
60,train,20584,124,2023-07-26 15:15:00,2024-02-04 14:00:00
60,calibration,6806,41,2024-02-04 15:15:00,2024-05-11 06:00:00
60,test,6972,42,2024-05-11 07:15:00,2024-05-18 06:00:00
