dataset,group_id,target_id,units,n_rows,start,end,freq,missing_fraction,mean,std,min,max,season_steps,seasonal_naive_supported
rico,P1S46,B.RTD3,degC,240,2023-08-03 03:01:00,2023-08-03 07:00:00,0 days 00:01:00,0.0,23.874583333333337,0.14543195411444254,23.7,24.3,,False
rico,P1S47,B.RTD3,degC,240,2023-08-03 07:01:00,2023-08-03 11:00:00,0 days 00:01:00,0.0,28.02166666666667,1.9633113234683732,24.3,30.8,,False
rico,P1S49,B.RTD3,degC,240,2023-08-03 15:01:00,2023-08-03 19:00:00,0 days 00:01:00,0.0,29.185833333333335,1.432398336017778,27.2,31.8,,False
rico,P1S50,B.RTD3,degC,240,2023-08-03 19:01:00,2023-08-03 23:00:00,0 days 00:01:00,0.0,34.528749999999995,3.0145196922387814,27.2,37.4,,False
rico,P1S51,B.RTD3,degC,240,2023-08-03 23:01:00,2023-08-04 03:00:00,0 days 00:01:00,0.0,29.333333333333332,3.186342017624214,26.2,37.5,,False
rico,P1S52,B.RTD3,degC,240,2023-08-04 03:01:00,2023-08-04 07:00:00,0 days 00:01:00,0.0,29.428333333333338,0.9489199615588821,26.2,29.8,,False
rico,P1S53,B.RTD3,degC,240,2023-08-04 07:01:00,2023-08-04 11:00:00,0 days 00:01:00,0.0,26.79083333333333,1.3508711482355698,25.2,29.8,,False
rico,P1S55,B.RTD3,degC,240,2023-08-04 15:01:00,2023-08-04 19:00:00,0 days 00:01:00,0.0,36.03166666666666,3.9507423873794325,26.1,39.6,,False
rico,P1S56,B.RTD3,degC,240,2023-08-04 19:01:00,2023-08-04 23:00:00,0 days 00:01:00,0.0,24.603749999999998,4.808102743021171,21.2,39.6,,False
rico,P1S57,B.RTD3,degC,240,2023-08-04 23:01:00,2023-08-05 03:00:00,0 days 00:01:00,0.0,28.34291666666667,2.4221674638951005,21.2,29.8,,False
rico,P1S58,B.RTD3,degC,240,2023-08-05 03:01:00,2023-08-05 07:00:00,0 days 00:01:00,0.0,21.428749999999997,3.25474332006349,18.4,29.8,,False
rico,P1S59,B.RTD3,degC,240,2023-08-05 07:01:00,2023-08-05 11:00:00,0 days 00:01:00,0.0,16.952499999999997,0.7828135609004911,16.0,18.4,,False
rico,P1S60,B.RTD3,degC,240,2023-08-05 11:01:00,2023-08-05 15:00:00,0 days 00:01:00,0.0,30.5475,5.8559551993736365,16.0,36.4,,False
rico,P1S61,B.RTD3,degC,240,2023-08-05 15:01:00,2023-08-05 19:00:00,0 days 00:01:00,0.0,23.424166666666665,4.226505244641802,19.8,36.4,,False
rico,P1S62,B.RTD3,degC,240,2023-08-05 19:01:00,2023-08-05 23:00:00,0 days 00:01:00,0.0,26.589166666666664,2.3635409161854097,19.8,28.5,,False
rico,P1S63,B.RTD3,degC,240,2023-08-05 23:01:00,2023-08-06 03:00:00,0 days 00:01:00,0.0,22.019999999999996,1.8564419110324075,21.1,28.5,,False
rico,P1S64,B.RTD3,degC,240,2023-08-06 03:01:00,2023-08-06 07:00:00,0 days 00:01:00,0.0,26.467500000000005,1.821474068557326,21.2,28.2,,False
rico,P1S65,B.RTD3,degC,240,2023-08-06 07:01:00,2023-08-06 11:00:00,0 days 00:01:00,0.0,22.14333333333333,1.7917165670453647,21.2,28.2,,False
rico,P1S67,B.RTD3,degC,240,2023-08-06 15:01:00,2023-08-06 19:00:00,0 days 00:01:00,0.0,23.661249999999995,0.17271672456831372,23.4,24.0,,False
rico,P1S68,B.RTD3,degC,240,2023-08-06 19:01:00,2023-08-06 23:00:00,0 days 00:01:00,0.0,25.647916666666667,1.0958631956837104,23.3,26.8,,False
rico,P1S69,B.RTD3,degC,240,2023-08-06 23:01:00,2023-08-07 03:00:00,0 days 00:01:00,0.0,24.91541666666667,1.0633352406605752,23.5,26.8,,False
rico,P1S70,B.RTD3,degC,240,2023-08-07 03:01:00,2023-08-07 07:00:00,0 days 00:01:00,0.0,25.402083333333334,0.8495358278104653,23.4,26.2,,False
rico,P1S72,B.RTD3,degC,240,2023-08-07 11:01:00,2023-08-07 15:00:00,0 days 00:01:00,0.0,25.46,1.7419221816801371,23.6,29.9,,False
rico,P1S73,B.RTD3,degC,240,2023-08-07 15:01:00,2023-08-07 19:00:00,0 days 00:01:00,0.0,32.01541666666667,3.459964059075994,23.6,35.6,,False
rico,P1S74,B.RTD3,degC,240,2023-08-07 19:01:00,2023-08-07 23:00:00,0 days 00:01:00,0.0,30.55125,1.5893995405754937,29.7,35.6,,False
rico,P1S75,B.RTD3,degC,240,2023-08-07 23:01:00,2023-08-08 03:00:00,0 days 00:01:00,0.0,26.26625,1.3457147624059573,24.9,29.7,,False
rico,P1S76,B.RTD3,degC,240,2023-08-08 03:01:00,2023-08-08 07:00:00,0 days 00:01:00,0.0,23.679166666666667,0.5951541881486265,23.0,24.9,,False
rico,P1S77,B.RTD3,degC,240,2023-08-08 07:01:00,2023-08-08 11:00:00,0 days 00:01:00,0.0,28.744166666666665,2.002980867867498,23.0,29.9,,False
rico,P1S78,B.RTD3,degC,240,2023-08-08 11:01:00,2023-08-08 15:00:00,0 days 00:01:00,0.0,27.295000000000005,0.790355039122361,26.6,29.8,,False
rico,P1S79,B.RTD3,degC,240,2023-08-08 15:01:00,2023-08-08 19:00:00,0 days 00:01:00,0.0,25.618333333333332,0.5132525430456407,24.8,26.6,,False
rico,P1S80,B.RTD3,degC,240,2023-08-08 19:01:00,2023-08-08 23:00:00,0 days 00:01:00,0.0,26.9725,0.9054426319942285,24.8,27.9,,False
rico,P1S81,B.RTD3,degC,240,2023-08-08 23:01:00,2023-08-09 03:00:00,0 days 00:01:00,0.0,26.004166666666666,1.1174834124616426,24.4,27.9,,False
rico,P1S82,B.RTD3,degC,240,2023-08-09 03:01:00,2023-08-09 07:00:00,0 days 00:01:00,0.0,23.855000000000004,0.11704163690701878,23.7,24.4,,False
rico,P1S83,B.RTD3,degC,240,2023-08-09 07:01:00,2023-08-09 11:00:00,0 days 00:01:00,0.0,27.455416666666665,2.019810834936302,23.8,30.6,,False
rico,P1S85,B.RTD3,degC,240,2023-08-09 15:01:00,2023-08-09 19:00:00,0 days 00:01:00,0.0,27.75375,0.8259307542879493,26.4,29.5,,False
rico,P1S86,B.RTD3,degC,240,2023-08-09 19:01:00,2023-08-09 23:00:00,0 days 00:01:00,0.0,25.122916666666665,0.723496734206349,24.0,26.4,,False
rico,P1S87,B.RTD3,degC,240,2023-08-09 23:01:00,2023-08-10 03:00:00,0 days 00:01:00,0.0,26.0,0.800313746008532,24.0,26.7,,False
rico,P1S89,B.RTD3,degC,240,2023-08-10 07:01:00,2023-08-10 11:00:00,0 days 00:01:00,0.0,27.412083333333335,1.143793435891657,26.1,29.8,,False
rico,P1S91,B.RTD3,degC,240,2023-08-10 15:01:00,2023-08-10 19:00:00,0 days 00:01:00,0.0,27.835416666666667,0.26942491314182215,27.1,28.1,,False
rico,P1S92,B.RTD3,degC,240,2023-08-10 19:01:00,2023-08-10 23:00:00,0 days 00:01:00,0.0,25.136250000000004,1.340665270752113,23.3,27.7,,False
rico,P1S93,B.RTD3,degC,240,2023-08-10 23:01:00,2023-08-11 03:00:00,0 days 00:01:00,0.0,31.43791666666667,3.3874151525345466,23.3,34.9,,False
rico,P1S94,B.RTD3,degC,240,2023-08-11 03:01:00,2023-08-11 07:00:00,0 days 00:01:00,0.0,32.36416666666666,0.8123313042338176,31.8,34.9,,False
rico,P1S95,B.RTD3,degC,240,2023-08-11 07:01:00,2023-08-11 11:00:00,0 days 00:01:00,0.0,21.964166666666664,3.4844134912440774,18.9,31.9,,False
rico,P1S96,B.RTD3,degC,240,2023-08-11 11:01:00,2023-08-11 15:00:00,0 days 00:01:00,0.0,20.01583333333333,0.5686357208131216,18.9,20.9,,False
rico,P1S98,B.RTD3,degC,240,2023-08-11 19:01:00,2023-08-11 23:00:00,0 days 00:01:00,0.0,32.77583333333333,3.4195107392659803,21.4,35.6,,False
rico,P1S99,B.RTD3,degC,240,2023-08-11 23:01:00,2023-08-12 03:00:00,0 days 00:01:00,0.0,27.383750000000003,2.816914411046807,24.8,35.6,,False
rico,P1S101,B.RTD3,degC,240,2023-08-12 07:01:00,2023-08-12 11:00:00,0 days 00:01:00,0.0,24.01583333333333,0.6169835967972535,23.0,25.4,,False
rico,P3S0,B.RTD3,degC,240,2024-01-22 13:30:00,2024-01-22 17:29:00,0 days 00:01:00,0.0,27.36125,3.0407205880449903,20.2,30.6,,False
rico,P3S1,B.RTD3,degC,240,2024-01-23 05:30:00,2024-01-23 09:29:00,0 days 00:01:00,0.0,21.122916666666665,0.5061296174689038,20.4,22.1,,False
rico,P3S2,B.RTD3,degC,240,2024-01-23 21:30:00,2024-01-24 01:29:00,0 days 00:01:00,0.0,21.42416666666667,1.1201087688766505,18.4,22.5,,False
rico,P3S3,B.RTD3,degC,240,2024-01-24 13:30:00,2024-01-24 17:29:00,0 days 00:01:00,0.0,17.662916666666668,0.8135360040259946,15.5,18.2,,False
rico,P3S4,B.RTD3,degC,240,2024-01-25 05:30:00,2024-01-25 09:29:00,0 days 00:01:00,0.0,17.27833333333333,1.0907126635211548,14.6,18.4,,False
rico,P3S5,B.RTD3,degC,240,2024-01-25 21:30:00,2024-01-26 01:29:00,0 days 00:01:00,0.0,16.161666666666665,0.678317304372693,14.2,16.7,,False
rico,P4S0,B.RTD3,degC,240,2024-01-29 15:01:00,2024-01-29 19:00:00,0 days 00:01:00,0.0,23.588749999999997,1.3618834254205263,20.6,25.0,,False
rico,P4S1,B.RTD3,degC,240,2024-01-29 19:01:00,2024-01-29 23:00:00,0 days 00:01:00,0.0,22.03625,1.5022920076172368,20.2,25.0,,False
rico,P4S2,B.RTD3,degC,240,2024-01-29 23:01:00,2024-01-30 03:00:00,0 days 00:01:00,0.0,17.88125,0.9342520446031619,16.8,20.1,,False
rico,P4S3,B.RTD3,degC,240,2024-01-30 03:01:00,2024-01-30 07:00:00,0 days 00:01:00,0.0,17.640416666666667,0.25677398632997883,16.8,17.8,,False
rico,P4S5,B.RTD3,degC,240,2024-01-30 11:01:00,2024-01-30 15:00:00,0 days 00:01:00,0.0,17.861666666666668,0.548208696987997,16.4,18.7,,False
rico,P4S6,B.RTD3,degC,240,2024-01-30 15:01:00,2024-01-30 19:00:00,0 days 00:01:00,0.0,16.5975,0.3705616002523602,16.2,17.6,,False
