dataset,seed,outer_fold,decision,reason
bdg2,42,0,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,42,1,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,42,2,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,43,0,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,43,1,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,43,2,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,44,0,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,44,1,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,44,2,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,45,0,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,45,1,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,45,2,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,46,0,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,46,1,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
bdg2,46,2,no_feasible_configuration,no candidate met macro recall >= 0.6 and background workload <= 1.0/asset-day
