dataset,horizon,outer_fold,model_seed,target_units,physical_minutes,source_run,source_hash,protocol_hash,new_batch_unit,role,n,groups,zero_targets,negative_targets,adjacent_equal_targets,minimum,maximum,posthoc_cleaning_or_clipping
pleia_energy,3,2,45,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,c4251293278cc903db86fe4f42a91a7108a0c33bdffb224f47cfe4b37bfbafc1,True,calibration,4952,1,51,0,865,0.0,0.671875,False
pleia_energy,3,2,45,kWh per 10 minutes,30,smart_building_conformal/outputs/matched_forecasting005/pleia_energy_h3_f2_s45_v1,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,c4251293278cc903db86fe4f42a91a7108a0c33bdffb224f47cfe4b37bfbafc1,True,test,9907,1,64,0,882,0.0,3.046875,False
