dataset,horizon,outer_fold,model_seed,model,evidence_status,estimator_class,mae,rmse,n_fit,n_calibration,n_evaluation,selected_candidate,final_epochs,tuning_seconds,final_fit_seconds,calibration_seconds,inference_seconds,inference_batch_size,inference_rows_per_second,baseline_rss_bytes,peak_rss_bytes,peak_private_bytes,process_cpu_seconds,learned_tuning_fits,learned_final_fits,negative_predictions,status
pleia_energy,1,1,42,persistence,matched_forecasting005,src.pilot_forecasters.Persistence,0.24709958867467446,4.643716044920821,22289,7430,9907,0,,0.0,0.00028500000189524144,0.002335599987418391,0.002643599989823997,256,3747541.246079207,383520768,383614976,338538496,0.0,0,0,0,complete
pleia_energy,1,1,42,xgboost,matched_forecasting005,xgboost.sklearn.XGBRegressor,0.18971445762952882,3.287750651904667,22289,7430,9907,0,,3.5174365999992006,0.6257532000017818,0.047333599999547005,0.0593522999988636,256,166918.5524434552,388345856,507600896,529334272,3.03125,4,1,0,complete
pleia_energy,1,1,42,attention_lstm,matched_forecasting005,src.attention_lstm.AttentionLSTM,0.19721072223486832,3.288593860964665,22289,7430,9907,1,10.0,63.32886310000322,21.863727999996627,0.20031480000761803,0.24618010000267532,256,40242.89534325617,501633024,621608960,659283968,84.078125,4,1,0,complete
