epoch,train_mse,validation_mae
1,0.32433932023343864,3.1808378515130906
2,0.1036308370865336,2.7387919753546237
3,0.08895249882546535,2.5528085713816346
4,0.07823646577514223,2.4580472636778756
5,0.067106841162321,2.374625632687583
6,0.05788040455507847,2.3486936762316795
7,0.05104558040312238,2.0648162323903683
8,0.045331832909451655,2.2644114233548143
9,0.040439916246771394,2.24912070754415
10,0.03799411364441295,2.05756188624921
11,0.035447092573377054,2.138890036947493
12,0.032575056898976024,2.1405109250342145
13,0.030668081840756926,2.144069138951724
14,0.030371964706699395,2.18539268217956
15,0.02740721760006459,2.053827642747104
16,0.026731677950255984,2.080299918784183
17,0.025375658041641967,1.9986576703334296
18,0.024565746321905627,2.0901915497768777
19,0.02396243835965351,1.9629396105337251
20,0.022893517960853975,2.0634160648360194
21,0.023313730414289226,1.9719869556852485
22,0.022321664579946065,2.036005706340451
23,0.021293452146459804,2.0822661377412106
24,0.021562537458029014,1.9574667993655082
25,0.021228956045739912,1.84403786925407
26,0.020782123869007612,1.9972531221728034
27,0.020866608166298983,1.9370865218175144
28,0.020624378915351488,1.9016758047488742
29,0.020560331355097737,1.8956305693193893
30,0.02014929225770799,1.849864939886686
