model,mae,rmse,n,negative_predictions,verified
persistence,0.5479458968406178,0.7817754844230004,9907,0,True
xgboost,4.279730004668417,4.691436060986669,9907,0,True
attention_lstm,4.463557159309852,4.752998409263015,9907,0,True
