dataset,seconds,baseline_rss_bytes,peak_rss_bytes,baseline_private_bytes,peak_private_bytes,incremental_peak_rss_bytes,lifetime_peak_rss_bytes,min_available_ram_bytes,sample_interval_seconds
pleia,12.663333599999532,351694848,1215049728,307765248,1214328832,863354880,1249943552,2870730752,0.05
pleia_energy,8.73993849999897,393523200,435650560,347328512,388751360,42127360,1249943552,3568627712,0.05
rico,20.04296919999979,397524992,594632704,351625216,544571392,197107712,1249943552,3400318976,0.05
bdg2,42.959846099998686,508657664,1111674880,458551296,1126526976,603017216,1249943552,2909761536,0.05
