dataset,horizon,outer_fold,model_seed,physical_minutes,target_units,model,n_fit,n_calibration,n_test,source_run,source_hash,protocol_hash,selected_candidate,final_epochs,estimator_class,selected_parameters
rico,5,2,42,5,degrees C,persistence,12932,4452,8692,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,0,,src.pilot_forecasters.Persistence,{}
rico,5,2,42,5,degrees C,xgboost,12932,4452,8692,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,1,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
rico,5,2,42,5,degrees C,attention_lstm,12932,4452,8692,smart_building_conformal/outputs/matched_forecasting005/rico_h5_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,fcd243df8728f29a5ddeaa179aaa67eaffcd023ef5f5e0019e33c99af69c918c,1,18.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.0005, ""max_epochs"": 30, ""patience"": 5}"
bdg2,1,2,42,60,kWh per hour,persistence,51664,17370,34640,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,0,,src.pilot_forecasters.Persistence,{}
bdg2,1,2,42,60,kWh per hour,xgboost,51664,17370,34640,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,1,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 5, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
bdg2,1,2,42,60,kWh per hour,attention_lstm,51664,17370,34640,smart_building_conformal/outputs/matched_forecasting005/bdg2_h1_f2_s42_v2,cd907183301a189ddfcc195774dad58c8fa07d5b326d2ac29cf3636383dc681e,dddadb59c5972ba0474291c8081e54c3173f4957c52de269cdc336d78fbf546e,0,29.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
pleia,1,0,42,10,degrees C,persistence,29719,9907,9907,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,0,,src.pilot_forecasters.Persistence,{}
pleia,1,0,42,10,degrees C,xgboost,29719,9907,9907,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,0,,xgboost.sklearn.XGBRegressor,"{""colsample_bytree"": 0.8, ""learning_rate"": 0.05, ""max_depth"": 3, ""min_child_weight"": 1, ""n_estimators"": 400, ""reg_alpha"": 0.0, ""reg_lambda"": 1.0, ""subsample"": 0.8}"
pleia,1,0,42,10,degrees C,attention_lstm,29719,9907,9907,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,0,20.0,src.attention_lstm.AttentionLSTM,"{""batch_size"": 256, ""dropout"": 0.2, ""hidden_size"": 64, ""learning_rate"": 0.001, ""max_epochs"": 30, ""patience"": 5}"
pleia,3,0,42,30,degrees C,persistence,29715,9906,9907,smart_building_conformal/outputs/model_comparison_pilot_v1/runs/pilot_v1_20260913,965ff02d8cb67183210632bfbc3a2251c430a2b027b8b44d87df356fd19e3d71,af29d2340427f043c605f777e54389bc86ccbb44c9630aba57964536d0845ce3,0,,src.pilot_forecasters.Persistence,{}
