command,cwd,started_utc,logger_pid,child_pid,ended_utc,seconds,exit_status
"['C:/cfs_venv/Scripts/python.exe', '-B', 'C:/Users/nigel/OneDrive/Desktop/GitHub/confosense/review/matched_overnight_20260914/coordinator.py']",C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal,2026-09-13T17:52:14.730457+00:00,28336,23640,2026-09-13T18:51:09.565014+00:00,3534.833320400001,1
"['C:/cfs_venv/Scripts/python.exe', '-B', 'C:/Users/nigel/OneDrive/Desktop/GitHub/confosense/review/matched_overnight_20260914/coordinator.py']",C:\Users\nigel\OneDrive\Desktop\GitHub\confosense\smart_building_conformal,2026-09-13T18:54:08.737470+00:00,14756,28308,2026-09-13T19:02:08.162055+00:00,479.4228579999981,0
