horizon,inner_fold,candidate_id,channel,train_window_mean,train_window_std,validation_origin_z_mean,validation_origin_z_min,validation_origin_z_max,validation_fraction_abs_z_above_5
1,0,0,target,20.01785882992835,2.2588285290124874,0.9671315742139257,-2.2214430026355534,4.2420845267659555,0.0
1,0,0,tmed,13.143686688947755,4.956240531057504,0.7841873720282304,-2.127355748423594,4.490563905739733,0.0
1,0,0,hrmed,60.04614802460347,19.716486989373387,-0.04453589941605595,-2.4216356524162945,1.5395163204091724,0.0
1,0,0,radmed,131.70833715355704,211.03188768120356,0.5229326243312119,-0.6241158082825992,4.725786580429053,0.0
1,0,0,V4,0.014740030287733468,0.12051042193457863,0.06869652445826903,-0.12231332403545457,8.175724173027405,0.023018677435638565
1,0,0,V12,27.0,1.0,-0.09066128218071681,-1.0,0.0,0.0
1,0,0,V5_0,0.9852599697122665,0.1205104219345789,-0.06869652445826833,-8.175724173027385,0.12231332403545471,0.023018677435638565
1,0,0,V5_1,0.014740030287733468,0.12051042193457863,0.06869652445826903,-0.12231332403545457,8.175724173027405,0.023018677435638565
1,0,0,V5_2,0.0,1.0,0.0,0.0,0.0,0.0
1,0,0,hour_sin,0.0025783343925124343,0.7066146338515998,6.655636252655206e-05,-1.4188473976652312,1.4115496875160412,0.0
1,0,0,hour_cos,-0.0010026594098947596,0.7075931755548603,0.0031471286963695886,-1.4118244424937252,1.4146584421549246,0.0
1,0,0,dow_sin,-0.009987282142201077,0.7086166597711671,-0.008535513631899716,-1.3617244341829136,1.389912544085456,0.0
1,0,0,dow_cos,0.013007123183114911,0.7054030678543107,-0.020251989609681307,-1.295679044354323,1.399189940893101,0.0
1,0,1,target,20.01785882992835,2.2588285290124874,0.9671315742139257,-2.2214430026355534,4.2420845267659555,0.0
1,0,1,tmed,13.143686688947755,4.956240531057504,0.7841873720282304,-2.127355748423594,4.490563905739733,0.0
1,0,1,hrmed,60.04614802460347,19.716486989373387,-0.04453589941605595,-2.4216356524162945,1.5395163204091724,0.0
1,0,1,radmed,131.70833715355704,211.03188768120356,0.5229326243312119,-0.6241158082825992,4.725786580429053,0.0
1,0,1,V4,0.014740030287733468,0.12051042193457863,0.06869652445826903,-0.12231332403545457,8.175724173027405,0.023018677435638565
1,0,1,V12,27.0,1.0,-0.09066128218071681,-1.0,0.0,0.0
1,0,1,V5_0,0.9852599697122665,0.1205104219345789,-0.06869652445826833,-8.175724173027385,0.12231332403545471,0.023018677435638565
1,0,1,V5_1,0.014740030287733468,0.12051042193457863,0.06869652445826903,-0.12231332403545457,8.175724173027405,0.023018677435638565
1,0,1,V5_2,0.0,1.0,0.0,0.0,0.0,0.0
1,0,1,hour_sin,0.0025783343925124343,0.7066146338515998,6.655636252655206e-05,-1.4188473976652312,1.4115496875160412,0.0
1,0,1,hour_cos,-0.0010026594098947596,0.7075931755548603,0.0031471286963695886,-1.4118244424937252,1.4146584421549246,0.0
1,0,1,dow_sin,-0.009987282142201077,0.7086166597711671,-0.008535513631899716,-1.3617244341829136,1.389912544085456,0.0
1,0,1,dow_cos,0.013007123183114911,0.7054030678543107,-0.020251989609681307,-1.295679044354323,1.399189940893101,0.0
1,1,0,target,21.10755953120399,2.875217637897016,2.7234510763011377,0.24083036244971698,4.275308356714806,0.0
1,1,0,tmed,15.083741376202866,5.5239568801824035,1.8872688392080916,-0.15998342965134582,5.234700279348,0.001615019683052387
1,1,0,hrmed,59.60833272318557,19.818909116486154,-0.40578611006160537,-2.795730712939674,1.5284226101776472,0.0
1,1,0,radmed,186.37861957904224,278.9521609168332,0.4032932627975057,-0.6681382892553006,3.533298961304017,0.0
1,1,0,V4,0.018879353861686016,0.13609894878158044,0.766103617290906,-0.1387178522002011,7.208877474232912,0.12314525083274452
1,1,0,V12,26.95524987380111,0.20675481228732365,-1.16932929769803,-28.803440209774667,5.053087348443512,0.28151811850206926
1,1,0,V5_0,0.981120646138314,0.13609894878158066,-0.7661036172909044,-7.208877474232899,0.13871785220020108,0.12314525083274452
1,1,0,V5_1,0.018879353861686016,0.13609894878158044,-0.13871785220020108,-0.1387178522002011,-0.1387178522002011,0.0
1,1,0,V5_2,0.0,1.0,0.12314525083274452,0.0,1.0,0.0
1,1,0,hour_sin,0.0021070755294008716,0.7069593577735384,-0.0034856293798284127,-1.4174889468687217,1.4115279944993047,0.0
1,1,0,hour_cos,0.0006141565097600908,0.7072507656409244,0.002967066756882759,-1.414794023733554,1.4130572804464583,0.0
1,1,0,dow_sin,-0.012899390386548203,0.705842900786588,0.008883500468539323,-1.3629499011225465,1.3995002167017587,0.0
1,1,0,dow_cos,0.005373093555787186,0.7082305587708508,-0.027735480365723878,-1.279727246996697,1.4043829288733445,0.0
1,1,1,target,21.10755953120399,2.875217637897016,2.7234510763011377,0.24083036244971698,4.275308356714806,0.0
1,1,1,tmed,15.083741376202866,5.5239568801824035,1.8872688392080916,-0.15998342965134582,5.234700279348,0.001615019683052387
1,1,1,hrmed,59.60833272318557,19.818909116486154,-0.40578611006160537,-2.795730712939674,1.5284226101776472,0.0
