action,units,total_wall_seconds,mean_wall_seconds,max_wall_seconds
freeze,5,30.725963299992145,6.145192659998429,6.32977480001864
readiness,5,25.590803200015216,5.118160640003043,5.461681999993743
resume,5,5727.072361700004,1145.4144723400009,3205.4335612999857
run,5,21514.870139999955,4302.974027999991,6190.092881399993
validate,5,38138.274475799975,7627.654895159995,9222.17670869999
