scope,control_id,target,seeds,mean_streams,total_n,total_unavailable_n,mean_coverage,seed_sd_coverage,mean_mpiw,mean_winkler
all_scheduled_fault_slots,cqr_rolling,clean_counterfactual,5,2856.0,2056320.0,0.0,0.9010966192032368,0.016664400247009076,0.5674503322107443,1.0049042294435806
all_scheduled_fault_slots,cqr_rolling,corrupted_observation,5,2856.0,2045975.0,10345.0,0.8955925658915677,0.015935307438495888,0.5675874109074348,1.0278417835332494
all_scheduled_fault_slots,cqr_static,clean_counterfactual,5,2856.0,2056320.0,0.0,0.8304043145035791,0.028639304944530024,0.3562271014861099,1.4484146334021275
all_scheduled_fault_slots,cqr_static,corrupted_observation,5,2856.0,2045975.0,10345.0,0.8240462371241095,0.028362007188922827,0.3563749543607822,1.4694414326368106
all_scheduled_fault_slots,persistence_static,clean_counterfactual,5,2856.0,2056320.0,0.0,0.6385752217553688,0.0,0.125,3.7959599192063975
all_scheduled_fault_slots,persistence_static,corrupted_observation,5,2856.0,2045975.0,10345.0,0.6453255782695292,0.0,0.125,3.7300873953127485
all_scheduled_fault_slots,quantile_static,clean_counterfactual,5,2856.0,2056320.0,0.0,0.8325153672580143,0.028493968702134668,0.5010395298292147,1.1615619003926887
all_scheduled_fault_slots,quantile_static,corrupted_observation,5,2856.0,2045975.0,10345.0,0.8267735431762363,0.027960164960066803,0.5011896936102945,1.189190239987849
effective_fault_slots,cqr_rolling,clean_counterfactual,5,2742.0,1974240.0,0.0,0.9015317286652079,0.016706826985710948,0.5665555388385367,1.001128657517832
effective_fault_slots,cqr_rolling,corrupted_observation,5,2742.0,1963895.0,10345.0,0.8957999282039009,0.015945369408738225,0.5666936332626409,1.0250049869229367
effective_fault_slots,cqr_static,clean_counterfactual,5,2742.0,1974240.0,0.0,0.8312606370046195,0.02865937111133432,0.35573440382561927,1.4411030447627884
effective_fault_slots,cqr_static,corrupted_observation,5,2742.0,1963895.0,10345.0,0.8246413377497269,0.028369862629010048,0.35588584080568186,1.462970133980749
effective_fault_slots,persistence_static,clean_counterfactual,5,2742.0,1974240.0,0.0,0.6399500567306913,0.0,0.125,3.780126238989434
effective_fault_slots,persistence_static,corrupted_observation,5,2742.0,1963895.0,10345.0,0.6469897830586666,0.0,0.125,3.7114172008304918
effective_fault_slots,quantile_static,clean_counterfactual,5,2742.0,1974240.0,0.0,0.8331059040440879,0.028529705357940995,0.5005466795458945,1.1563339288101937
effective_fault_slots,quantile_static,corrupted_observation,5,2742.0,1963895.0,10345.0,0.8271272140313,0.02797290902225304,0.5007005232115762,1.185089442082129
fullstream_clean,cqr_rolling,clean_counterfactual,5,1.0,49535.0,0.0,0.9479559907136368,0.0010308607192237064,0.6906348090188086,0.8710508331544651
fullstream_clean,cqr_rolling,corrupted_observation,5,1.0,49535.0,0.0,0.9479559907136368,0.0010308607192237064,0.6906348090188086,0.8710508331544651
fullstream_clean,cqr_static,clean_counterfactual,5,1.0,49535.0,0.0,0.8293731704855153,0.028646564565203408,0.35218633288739765,1.445998264530641
fullstream_clean,cqr_static,corrupted_observation,5,1.0,49535.0,0.0,0.8293731704855153,0.028646564565203408,0.35218633288739765,1.445998264530641
fullstream_clean,persistence_static,clean_counterfactual,5,1.0,49535.0,0.0,0.6428787725850409,0.0,0.125,3.7835873624709806
fullstream_clean,persistence_static,corrupted_observation,5,1.0,49535.0,0.0,0.6428787725850409,0.0,0.125,3.7835873624709806
fullstream_clean,quantile_static,clean_counterfactual,5,1.0,49535.0,0.0,0.8309478146764914,0.028377196601187732,0.497008666974508,1.157773286538578
fullstream_clean,quantile_static,corrupted_observation,5,1.0,49535.0,0.0,0.8309478146764914,0.028377196601187732,0.497008666974508,1.157773286538578
identity,cqr_rolling,clean_counterfactual,5,68.0,48960.0,0.0,0.900592320261438,0.01638490143701541,0.559322881902429,0.9939380842423311
identity,cqr_rolling,corrupted_observation,5,68.0,48960.0,0.0,0.900592320261438,0.01638490143701541,0.559322881902429,0.9939380842423311
identity,cqr_static,clean_counterfactual,5,68.0,48960.0,0.0,0.8303308823529412,0.02836641427120571,0.34900399121097625,1.4367241893226426
identity,cqr_static,corrupted_observation,5,68.0,48960.0,0.0,0.8303308823529412,0.02836641427120571,0.34900399121097625,1.4367241893226426
identity,persistence_static,clean_counterfactual,5,68.0,48960.0,0.0,0.6483864379084967,0.0,0.125,3.7157501021241837
identity,persistence_static,corrupted_observation,5,68.0,48960.0,0.0,0.6483864379084967,0.0,0.125,3.7157501021241837
identity,quantile_static,clean_counterfactual,5,68.0,48960.0,0.0,0.8316789215686274,0.028756744657705113,0.49382557846732966,1.1509381013631583
identity,quantile_static,corrupted_observation,5,68.0,48960.0,0.0,0.8316789215686274,0.028756744657705113,0.49382557846732966,1.1509381013631583
