control_id,rule_id,channel,point,status,valid_draws,lower,upper
cqr_rolling,180min_3of18,availability_only,0.1261221988795518,supported,2000,0.11951980809124724,0.13350426930156956
cqr_rolling,180min_3of18,combined,0.38548792016806716,supported,2000,0.30408073143050324,0.46930236705071643
cqr_rolling,180min_3of18,numerical_only,0.2822051820728292,supported,2000,0.2263534680699203,0.34088644252185085
cqr_rolling,30min_3of3,availability_only,0.10777223389355742,supported,2000,0.10264694014615036,0.11280446269416858
cqr_rolling,30min_3of3,combined,0.3309443277310924,supported,2000,0.29578816664028246,0.36609839904174507
cqr_rolling,30min_3of3,numerical_only,0.21060119047619047,supported,2000,0.1698809395817507,0.2497280463293413
cqr_rolling,360min_4of36,availability_only,0.05965511204481792,supported,2000,0.055698885614852,0.06396331718171139
cqr_rolling,360min_4of36,combined,0.25828501400560216,supported,2000,0.16585693504544294,0.3530745303171774
cqr_rolling,360min_4of36,numerical_only,0.1893984593837535,supported,2000,0.12460902561560502,0.25629179913577094
cqr_rolling,60min_4of6,availability_only,0.05965511204481792,supported,2000,0.055698885614852,0.06396331718171139
cqr_rolling,60min_4of6,combined,0.28259821428571424,supported,2000,0.2591233254025505,0.3046183837171232
cqr_rolling,60min_4of6,numerical_only,0.18794100140056025,supported,2000,0.1597611220846309,0.21678469029121084
cqr_rolling,single_sample,availability_only,0.2857142857142857,unavailable_valid_draw_or_degenerate,2000,,
cqr_rolling,single_sample,combined,0.8160449929971989,supported,2000,0.7756073788470564,0.8583711319544651
cqr_rolling,single_sample,numerical_only,0.6651278011204481,supported,2000,0.5851397869218213,0.7540749620915684
cqr_static,180min_3of18,availability_only,0.1261221988795518,supported,2000,0.11951980809124724,0.13350426930156956
cqr_static,180min_3of18,combined,0.32995238095238094,supported,2000,0.22872015090230619,0.4448356102940262
cqr_static,180min_3of18,numerical_only,0.2561892507002801,supported,2000,0.18820599894213005,0.33533556109693735
cqr_static,30min_3of3,availability_only,0.10777223389355742,supported,2000,0.10264694014615036,0.11280446269416858
cqr_static,30min_3of3,combined,0.4102843137254901,supported,2000,0.3757527921370286,0.44797152959360903
cqr_static,30min_3of3,numerical_only,0.292985644257703,supported,2000,0.260937284595764,0.32906167477867754
cqr_static,360min_4of36,availability_only,0.05965511204481792,supported,2000,0.055698885614852,0.06396331718171139
cqr_static,360min_4of36,combined,0.21671130952380951,supported,2000,0.11243030865503345,0.3324484835800348
