control_a,control_b,definition,rule_id,channel,point_difference,status,valid_draws,lower,upper,draw_hash
quantile_static,cqr_static,A minus B,180min_3of18,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,180min_3of18,combined,0.047666491596638716,supported,2000,-0.007036501604610231,0.0992103753821448,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,180min_3of18,numerical_only,0.04979551820728301,supported,2000,0.006760818490844686,0.09192171204992251,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,30min_3of3,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,30min_3of3,combined,0.0026663165266105904,supported,2000,-0.04420619194286026,0.03709902689310962,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,30min_3of3,numerical_only,-0.013592086834733952,supported,2000,-0.06325259233997728,0.022654676362436073,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,360min_4of36,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,360min_4of36,combined,0.03104639355742292,supported,2000,-0.018236996381462544,0.07364913962175358,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,360min_4of36,numerical_only,0.03470395658263303,supported,2000,0.0003816400484924787,0.0668523655674391,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,60min_4of6,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,60min_4of6,combined,0.03746446078431376,supported,2000,-0.008795692763066732,0.07828981841492828,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_static,A minus B,60min_4of6,numerical_only,0.0173567927170869,supported,2000,-0.020173252542692668,0.05303929328402557,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
