model_seed,cqr_wrapper_fit,quantile_estimator_fit,nested_calibrator_conformalize,logical_conformalizations,persistence_radius_computations,persistence_learned_fits,estimator_random_states,owner_sha256
42,1,3,2,1,1,0,42;42;42,992246063fa9edae37c74961129fe703dff7e4db52e2aa7b87ff002063f94dfc
43,1,3,2,1,1,0,43;43;43,f9ab7457ce9919acc3bc8b501e5686a64570252242a4a82d117416e7d8638e39
44,1,3,2,1,1,0,44;44;44,2095f9856939950d8efe54526174023bc8b356f8b743ea20ce269789d2b54cd5
45,1,3,2,1,1,0,45;45;45,7968028223f84bb792c30e46b9781f8ebe2bf18c4f2d6dd2566d191505b093d9
46,1,3,2,1,1,0,46;46;46,34bcc8a1caf229f00dac7dfa9968c2127a32f739e6163eae7b27b56168c4ad04
