dataset,horizon,outer_fold,role,n,groups,membership_hash,row_id_hash,origin_min,origin_max,target_min,target_max,seasonal_rows
pleia,1,0,fit,29719,1,197ca2126db8a6d54c51df4c1e25522291e7fe61047c6620379e662e13aa1aa7,acad5b23e34c855e75aef90bba7e446ae6b4f2cc2f4476fc9aaf06867123172e,2021-01-08 00:00:00,2021-08-02 09:00:00,2021-01-08 00:10:00,2021-08-02 09:10:00,29719
pleia,1,0,calibration,9907,1,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac,8dbd6369c7ccb0ea568b294c99ecb4a95c63380b65fe3eb8c53f8c9ce440f4b0,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,9907
pleia,1,0,test,9907,1,77c805ec1206f5f4b8d69c832dbcdd0c7a9105f7eb908635b0cdce64c5e7f6d4,61fb9d5f541775d64dae4219cf4bfe844622a1b80fd4feab67c5817942209f4b,2021-10-10 04:40:00,2021-12-17 23:40:00,2021-10-10 04:50:00,2021-12-17 23:50:00,9907
pleia,1,0,inner0_train,9905,1,858dadfb167b05cfdd85ef43e9966c224bc071a247182f46793bfa76b885b60a,a7948596357944265f7b6287377e80f72ba271588744ce0fc219f20b6ff63364,2021-01-08 00:00:00,2021-03-17 18:40:00,2021-01-08 00:10:00,2021-03-17 18:50:00,9905
pleia,1,0,inner0_validation,9905,1,c6e19624d0362c4bd29f3fb03ca85cd8bea428fe0ac5cf9fe1dc48fe8bd44866,f7add43a3b4de7107f8b8480d57d7c2efa2eb6fb92e2b58766cfd5fd84c64231,2021-03-17 19:00:00,2021-05-25 13:40:00,2021-03-17 19:10:00,2021-05-25 13:50:00,9905
pleia,1,0,inner1_train,19810,1,c637830d4d269106b1c0ccbc869a95104e455aa06fa5c920f07e2a7f83cb9792,1a695d02624f40ff7f72bd21f283e5c29f7c0b38d370912d707d973cc6835157,2021-01-08 00:00:00,2021-05-25 13:40:00,2021-01-08 00:10:00,2021-05-25 13:50:00,19810
pleia,1,0,inner1_validation,9907,1,bc43489126279e531661ba68b9743fda3502cec95a36ea7ec09692c03ea90a20,a9e07f5cdb34e3a78d50200a438f9ff4ad7c5cc49b5e3e9f90b6b9bb469de781,2021-05-25 14:00:00,2021-08-02 09:00:00,2021-05-25 14:10:00,2021-08-02 09:10:00,9907
pleia,1,1,fit,22289,1,ff6e33ad4a60fdac3c9f2c0cbbf9cfac7829dad9dce22d5a71f465cb848d0d8d,7936facdc81454718add21463d9cf52b20ec2eb922945fad4722637ad6643e03,2021-01-08 00:00:00,2021-06-11 18:40:00,2021-01-08 00:10:00,2021-06-11 18:50:00,22289
pleia,1,1,calibration,7430,1,86657dcb0f77fbc9623945440c7506f715c60eb35a0730800cf21dfcbcbe1c03,cdee42dd5d3945441f16da4db19f31caccc1e1ca2faa3325bc551392a8a571b8,2021-06-11 19:00:00,2021-08-02 09:10:00,2021-06-11 19:10:00,2021-08-02 09:20:00,7430
pleia,1,1,test,9907,1,c8e3a1cedc00a08cc2d4b24cfd948e6f75432fbd0b28b80c87c5d7a3c856a903,996866f224be1254b6b5162ad1ad2b67c6d64332e0d74b26f8a615dbf1e15cf2,2021-08-02 09:30:00,2021-10-10 04:30:00,2021-08-02 09:40:00,2021-10-10 04:40:00,9907
pleia,1,1,inner0_train,7428,1,af9d5714eecdb60cf0d041c044da9a04ffe908adcdd1469b577bf490d975e06f,5b34a191380d8cd5a91013f7d6d34fbb9e6ff56596d866cece277d22bc176b6f,2021-01-08 00:00:00,2021-02-28 13:50:00,2021-01-08 00:10:00,2021-02-28 14:00:00,7428
pleia,1,1,inner0_validation,7429,1,26dba0d6ea83921f9068baea499b50aed5577c87e758b82f0809f4eb95080070,afaf3abb16aa907edeba7fc1fd9bc5322d8292e40a4dbc5f8f141aff1c9ad7fe,2021-02-28 14:10:00,2021-04-21 04:10:00,2021-02-28 14:20:00,2021-04-21 04:20:00,7429
pleia,1,1,inner1_train,14857,1,12971e13be9146d3092b22ad43ed538c6e5b74f2040b10a49385a3b1c73df149,6ca0e2fda250e34ed375200815c59a1cf47d830250e7a7271ec7de14a8c491f7,2021-01-08 00:00:00,2021-04-21 04:10:00,2021-01-08 00:10:00,2021-04-21 04:20:00,14857
pleia,1,1,inner1_validation,7430,1,40c000db18fbd1f504af0f4acd69a9e3b981b52d1c1d8e60423f4079ea20bb70,d219b619d78be454fd7100883b969545d151fd0ae79b2c3b9c719c20d4a93c62,2021-04-21 04:30:00,2021-06-11 18:40:00,2021-04-21 04:40:00,2021-06-11 18:50:00,7430
