dataset,horizon,outer_fold,role,n,groups,membership_hash,row_id_hash,origin_min,origin_max,target_min,target_max,seasonal_rows
pleia,1,2,fit,14858,1,082d3c719093d84e13379d5a2c367aacae289407ac707cb64d266f759ebb787b,a5da64445ac5f1af2fd4c56cb88650223d7690fede620e9a6758367516928aca,2021-01-08 00:00:00,2021-04-21 04:10:00,2021-01-08 00:10:00,2021-04-21 04:20:00,14858
pleia,1,2,calibration,4953,1,9eb8650e22c2484bd09a282820451387cd0610e0cf55aa2ec428816a260b5143,7794c3f938f5b39a6b7c298611ca6e5d91de32415f98091ff059cd97e6946b01,2021-04-21 04:40:00,2021-05-25 14:00:00,2021-04-21 04:50:00,2021-05-25 14:10:00,4953
pleia,1,2,test,9907,1,9873f938ec58b7643a4b9bb6625e3522fa47921a83ef136da20c6e62a17a410f,ca2d8ac2f6c4a85d87a0b3e689792f73277921d41eae2f48c6b4eb1e307d2a61,2021-05-25 14:20:00,2021-08-02 09:20:00,2021-05-25 14:30:00,2021-08-02 09:30:00,9907
pleia,1,2,inner0_train,4951,1,772e37103d6ec8c04ebb7c7e034fb82e77efacdfb42740094dd62aba1cdcbb46,9ff5cf13265f7071fd9c0761e23cbdb0a3b06a17108fe4c9e29d7b526dbb16f6,2021-01-08 00:00:00,2021-02-11 09:00:00,2021-01-08 00:10:00,2021-02-11 09:10:00,4951
pleia,1,2,inner0_validation,4952,1,3ee052b31b48d8aee119b1a1a23488da243b59b1055ebe21d22b810798c26df1,94101a1db88057481d0b93b3f6f6f8a0ba0768c95d5d786cc94219111fc8b01a,2021-02-11 09:20:00,2021-03-17 18:30:00,2021-02-11 09:30:00,2021-03-17 18:40:00,4952
pleia,1,2,inner1_train,9903,1,bc9acab132bf77c6fdb966545b0c1c36c2d8d40c0debf6ad9879832e8eed3f18,5bb7052421dc4dc1014d0183a0a86dc9346860360b70733932af01792401ebea,2021-01-08 00:00:00,2021-03-17 18:30:00,2021-01-08 00:10:00,2021-03-17 18:40:00,9903
pleia,1,2,inner1_validation,4953,1,af2dbfce54bc80c97b7250e3d85c70b3feb7714d2fb1b6436b4b00eeaec9ed9e,28760e0529920ab50fc08711863e3203a9e12a65c4321ba66c5ea2a7711920b5,2021-03-17 18:50:00,2021-04-21 04:10:00,2021-03-17 19:00:00,2021-04-21 04:20:00,4953
pleia,3,0,fit,29715,1,d245653f52ba66016741583cf542612b29fde554e261b4f0fa6270f760dc7ada,47aacd6ad88c805dc3cb9e2dbfec0440b139095b9e1d7eebe18d99e23e82e83b,2021-01-07 23:40:00,2021-08-02 08:00:00,2021-01-08 00:10:00,2021-08-02 08:30:00,29715
pleia,3,0,calibration,9906,1,7b1e40754283d2d9c9144efbcdb44852c434152aaa2b63b8b7442cb618548a5f,9ac7f4a49319efe4e8b60323c2b02865521335b53ce94ef9a75d62cc77f2ea96,2021-08-02 08:50:00,2021-10-10 03:40:00,2021-08-02 09:20:00,2021-10-10 04:10:00,9906
pleia,3,0,test,9907,1,2c56104e38d2b03ffb6873b914346890d589bc0240acd42fd31d3b6d068570b6,2224bcc28a343573d83568d964edaeb53cfd91dea82cb5667b6715ffc66eb13c,2021-10-10 04:20:00,2021-12-17 23:20:00,2021-10-10 04:50:00,2021-12-17 23:50:00,9907
pleia,3,0,inner0_train,9902,1,224c212938ebf4d74fdaf10c4d17a4e36f964f91f8692efea4610e7ad1dfe608,11a5b766ccfe191c250f8e9881ae4d83f6fd7d28e844b4013a4e8b281bf7e072,2021-01-07 23:40:00,2021-03-17 17:50:00,2021-01-08 00:10:00,2021-03-17 18:20:00,9902
pleia,3,0,inner0_validation,9902,1,db263981b40846508d608885a705bb8098d7e7d2818e46895735c7ca57b7af84,f57227f815477b175e308c4a6ee30b6a2d2919629718285c9bb29a0d7e5ce9aa,2021-03-17 18:30:00,2021-05-25 12:40:00,2021-03-17 19:00:00,2021-05-25 13:10:00,9902
pleia,3,0,inner1_train,19804,1,11f2a12231f4b8e50d3deb7d0cc3f02ac16673c23f8ab4f76efcc896f9935227,a250d9b51150896f9865a37187a1f73918474225f9fd514679d376c3b66db1e7,2021-01-07 23:40:00,2021-05-25 12:40:00,2021-01-08 00:10:00,2021-05-25 13:10:00,19804
pleia,3,0,inner1_validation,9905,1,0aeaba3bd737827b3212fd827591840a37eb9240cd8fc4e0f997dea2140ceedc,8e8e113845d29804111c66a3dc99d8860f6dce9b97424ca23a29c6752c4ccb3d,2021-05-25 13:20:00,2021-08-02 08:00:00,2021-05-25 13:50:00,2021-08-02 08:30:00,9905
pleia,3,1,fit,22285,1,506ee7127ead38d9e0d410ac2ff259564bd15f3fa197a144b6fedfec7f73bfa1,3edec24e5427f5b21478869c8b4dc31cb219e6ea73f0415d5519f2469136c2bf,2021-01-07 23:40:00,2021-06-11 17:40:00,2021-01-08 00:10:00,2021-06-11 18:10:00,22285
pleia,3,1,calibration,7429,1,1afe1caf989bab6e6babba855d6903ad55b26ae1708cb4b91966dbaf8e93a513,2a257be24d8be682be4b9e467afc07e581bc7a285f80479cd0e522fe11cdc7ab,2021-06-11 18:30:00,2021-08-02 08:30:00,2021-06-11 19:00:00,2021-08-02 09:00:00,7429
pleia,3,1,test,9907,1,c5da2785e6c23a1036254aba633cd42130cf6b895b6cf8a36e621a2696ddb52b,d14b51d53cac5929a8522f09f019359528b584a5f514e7268b2e06f2e89750b7,2021-08-02 09:10:00,2021-10-10 04:10:00,2021-08-02 09:40:00,2021-10-10 04:40:00,9907
pleia,3,1,inner0_train,7425,1,4cbe75e7010300ef88bf696dfe883f9e2184fc62f95022e3dc419690d5979753,a1873b0db789b0690afa4b4737c68eb857e6435559b7ee64d6b8c4a90ba940a4,2021-01-07 23:40:00,2021-02-28 13:00:00,2021-01-08 00:10:00,2021-02-28 13:30:00,7425
pleia,3,1,inner0_validation,7425,1,fdc573a5afeef47abbdbed2b83ab6941f730b3f5748db095c2fdf1650eda44bb,f7fed40aa4f2a55cc64424ee84c2efff6aa6f6811746a3704f822bfe57235330,2021-02-28 13:40:00,2021-04-21 03:00:00,2021-02-28 14:10:00,2021-04-21 03:30:00,7425
pleia,3,1,inner1_train,14850,1,e4626ea656fc74e402030592f6726c74acb988d7b358be5e0c7d87fe68b43904,ce22c48a4c193c935599187064780b35896e9294afd772bd90788c79ce0b9f70,2021-01-07 23:40:00,2021-04-21 03:00:00,2021-01-08 00:10:00,2021-04-21 03:30:00,14850
pleia,3,1,inner1_validation,7429,1,db46538e9fefba5d4f6362b090b8cc1db79b3dc7682d77e7cd4a6f08404ada92,3610ba0e68d2227fd7a2f095b3a80e5f1ef0fc3750b51e477c8877c6d906593a,2021-04-21 03:40:00,2021-06-11 17:40:00,2021-04-21 04:10:00,2021-06-11 18:10:00,7429
pleia,3,2,fit,14855,1,227c29f26e08b12144a3144f7b4e485ceef61eeffddfb8383055cdb14249180b,4074dfa6f8e6042743030c8386a0f02bf142e81c22c53c260629dc0e31aea099,2021-01-07 23:40:00,2021-04-21 03:20:00,2021-01-08 00:10:00,2021-04-21 03:50:00,14855
pleia,3,2,calibration,4952,1,7fa06de8c38dda4d17b6b0cf6e9ef56c1df4e74c93e4a91c0e4cc3ac109ef25d,e7a9e5a4d0f065e905f3b68d0ddcc8cfa81961e510bbeaa67844d8b295557883,2021-04-21 04:10:00,2021-05-25 13:20:00,2021-04-21 04:40:00,2021-05-25 13:50:00,4952
pleia,3,2,test,9907,1,bac99d6be4cb79fe22304f53e75236e112bbd0869eb6fec15e881e232b076cc3,980af583f5f37c78a95e0b099badf318c309a782627933d4b65363f009fed507,2021-05-25 14:00:00,2021-08-02 09:00:00,2021-05-25 14:30:00,2021-08-02 09:30:00,9907
pleia,3,2,inner0_train,4948,1,fdb3d26c48df5c39e6763480535e204d2594b8749ab6df0a1371c11c4991afd2,ddaf23d54fbb3a4e9b995b43253825c4ae6a3c46f5831e9bc1bc774c65ae348c,2021-01-07 23:40:00,2021-02-11 08:10:00,2021-01-08 00:10:00,2021-02-11 08:40:00,4948
pleia,3,2,inner0_validation,4949,1,249bb3d7f2b16be8c15ebb503c1a33019c0aed25686b3ca72cf4bf16dc16264d,1046774ecf67bd5d7b3cda329101e3229f1720d1f12b59feb24732dffedd21a3,2021-02-11 08:50:00,2021-03-17 17:30:00,2021-02-11 09:20:00,2021-03-17 18:00:00,4949
pleia,3,2,inner1_train,9897,1,e4a2af2e86062f34ecc2da38f038c54771899f808d45a3482679b08ab9163cba,50e5f199066eca1e0f35e3294dda145841773b547bab055401b3e8d8067ed3c0,2021-01-07 23:40:00,2021-03-17 17:30:00,2021-01-08 00:10:00,2021-03-17 18:00:00,9897
pleia,3,2,inner1_validation,4952,1,4439d1e24df439cf5dbec4b37090c9521460fad2488d498a7c821cf963a6daa2,e567401ae33f835a2879ba5be9304ca8129f612468e33f9ab19c6e25dd3b1e5c,2021-03-17 18:10:00,2021-04-21 03:20:00,2021-03-17 18:40:00,2021-04-21 03:50:00,4952
pleia,6,0,fit,29710,1,9bfb1bb756f6482d05f8b29f4641dbd1f296028fc350a4a553d24a36d22e27e9,46cd0f4dd759b44d4fe40bd4a6992c82f924f638fc8a66d9c547d83df1f655d2,2021-01-07 23:10:00,2021-08-02 06:40:00,2021-01-08 00:10:00,2021-08-02 07:40:00,29710
pleia,6,0,calibration,9904,1,95f6a9fd9b4c2fa94db7feb83a63fad2a71fd57999295f2197de2469d546764e,dc23852a3f20e2a36abb81e5c43aa65bf92792d85263aca31dba347b4149c279,2021-08-02 08:10:00,2021-10-10 02:40:00,2021-08-02 09:10:00,2021-10-10 03:40:00,9904
pleia,6,0,test,9907,1,d49d239e790e4d4ac222855ae25cdaac52374834298fd0a50aea54a1301ed1ee,83329ceeac2b89c37642f2b2dd4afdfbc7767e96c7dc5577fdfb4bd7ce61765c,2021-10-10 03:50:00,2021-12-17 22:50:00,2021-10-10 04:50:00,2021-12-17 23:50:00,9907
pleia,6,0,inner0_train,9897,1,a6403e960745cce991ed91ad4e09c0bacd724edcf9100567e9722ec33b2f0126,39324fc24fadefe2db1aaa2e6c0b298d8e7df230a70f6461159eb01cf0025f0f,2021-01-07 23:10:00,2021-03-17 16:30:00,2021-01-08 00:10:00,2021-03-17 17:30:00,9897
pleia,6,0,inner0_validation,9897,1,eed5d591d2433de344782fb37c677017b7eb2ab643af84f8077edf74ff3bbe2d,c0c7106dec78c2438691bd6c9102f2f44bc117d8e65d5569f78674b3198e8957,2021-03-17 17:40:00,2021-05-25 11:00:00,2021-03-17 18:40:00,2021-05-25 12:00:00,9897
pleia,6,0,inner1_train,19794,1,516702fb97ea5798b6b3bc5e6fdc36d944e45c01996a7abcecafdcfbaf941b2c,20b8e14d58ab6e3ca0b78d68f22fe4619e763a588ae374d2daa6a4732f6359ab,2021-01-07 23:10:00,2021-05-25 11:00:00,2021-01-08 00:10:00,2021-05-25 12:00:00,19794
pleia,6,0,inner1_validation,9904,1,f7a48687f85b4b8b0f7e7fc920bb44bc15de33c4f098f554582b76ebe32df731,884a2b4b3edd2059df1542972bb0a3bc9e0e4415fef83d4c8eb94ffb9fa449c7,2021-05-25 12:10:00,2021-08-02 06:40:00,2021-05-25 13:10:00,2021-08-02 07:40:00,9904
pleia,6,1,fit,22280,1,24f1612079bd1cb0002f3d68e2063c78ac6c036e8372f0e93ec8183a74ff392f,eeedb689780854aae198137806ae44d0d87f40ea7a31aa4ba4b1aae17887eb9e,2021-01-07 23:10:00,2021-06-11 16:20:00,2021-01-08 00:10:00,2021-06-11 17:20:00,22280
pleia,6,1,calibration,7428,1,acb2da6e59f080e25fa1a9bcd7498a2da1bb173332cfe49ce08199c6ef5dc18c,992d8502ae242ed231fe2e635fe36a70056e4c056f05101ea32e783a51093ee1,2021-06-11 17:40:00,2021-08-02 07:30:00,2021-06-11 18:40:00,2021-08-02 08:30:00,7428
pleia,6,1,test,9907,1,fa45890988d25946876a84abd68f3543a379c544700b897ef1b1b0aedab6c64d,d76d35b43dbf46bac129fce1e4f57187a7353a187495a6c513cdaa46c386a8fd,2021-08-02 08:40:00,2021-10-10 03:40:00,2021-08-02 09:40:00,2021-10-10 04:40:00,9907
pleia,6,1,inner0_train,7420,1,2623879ea2eea4d266076c8ce66688c4928cad3f086d44992c507abcb7d88b73,0937a3377b51bdbd184d546fae5522c47c192b758823749a20844138c5c84e30,2021-01-07 23:10:00,2021-02-28 11:40:00,2021-01-08 00:10:00,2021-02-28 12:40:00,7420
pleia,6,1,inner0_validation,7421,1,3d40f0142509dd72f72feafa3bf607192cc7192bd028b27f230b9fbd5a938c7a,3113abaa174e284ba9d60afb909816de7b32d94ff1a3bcadeff3bf322718d07d,2021-02-28 12:50:00,2021-04-21 01:30:00,2021-02-28 13:50:00,2021-04-21 02:30:00,7421
pleia,6,1,inner1_train,14841,1,edb32d9763d30656c00b850142fbb7b15e9bc9c9b5749d310d34589e786af35d,52a7fe5532b5628e69b0baea6dfd5072ce79adc5976b9919de2b258ac2603bd4,2021-01-07 23:10:00,2021-04-21 01:30:00,2021-01-08 00:10:00,2021-04-21 02:30:00,14841
pleia,6,1,inner1_validation,7427,1,ddcb9e2077c6a8ea1f89812013ae8c4d981c113b6e828d43416259f9f877402d,c32ba447dba0156b4e2a0304614484231267add870d20f7c847eed4dd64378db,2021-04-21 02:40:00,2021-06-11 16:20:00,2021-04-21 03:40:00,2021-06-11 17:20:00,7427
pleia,6,2,fit,14850,1,ef9d6a6abac88bf6870ca419233277f25ca38ffcec8d2e50ef36e5a7ae619400,1a376d5a8a154a77f83f187423efb4d9fc845968a0043a1454205c7b56a18c46,2021-01-07 23:10:00,2021-04-21 02:00:00,2021-01-08 00:10:00,2021-04-21 03:00:00,14850
pleia,6,2,calibration,4951,1,9247b241a0fa2d22e3929a301f0ff3511dbadd5e2e8ec374799c5c7abceab76d,2d7a6ad1c542e4d2f60a787f5e43892e1e19f63a3d75ff6e0accd70b674462a7,2021-04-21 03:20:00,2021-05-25 12:20:00,2021-04-21 04:20:00,2021-05-25 13:20:00,4951
pleia,6,2,test,9907,1,c6974f8d3bde0930d9d56239e658a56ee8f6554aea2606844b45a070315571f1,ac5e21416b994368c2c6ea779989080df106bc5896da0483b1f5982a7af732fa,2021-05-25 13:30:00,2021-08-02 08:30:00,2021-05-25 14:30:00,2021-08-02 09:30:00,9907
pleia,6,2,inner0_train,4944,1,7e1d872fdae249702364dcedccb8344e6e44d13dde4694244d1d8af8576495fb,8f691537f61aeaf3b6b2bce9234e1f3f2fce1fa89f579c6620a77d4e9430bbe6,2021-01-07 23:10:00,2021-02-11 07:00:00,2021-01-08 00:10:00,2021-02-11 08:00:00,4944
pleia,6,2,inner0_validation,4944,1,2984744e642beefa7ce03314b45942af4ef6594d8939fdf4b62e61c263f6bdb8,2d75f8c14ab352752c56668098b1a13d6f545d051d41b03dbb9af51140add5f3,2021-02-11 08:10:00,2021-03-17 16:00:00,2021-02-11 09:10:00,2021-03-17 17:00:00,4944
pleia,6,2,inner1_train,9888,1,b302ee02c2b16f2a988275f6ff329f6f03774c4c85d10d37902b32b54795d4e0,2330831bef316a2f27daff3f18c8507290a36952db81e8e9e7594e746f48686e,2021-01-07 23:10:00,2021-03-17 16:00:00,2021-01-08 00:10:00,2021-03-17 17:00:00,9888
pleia,6,2,inner1_validation,4950,1,94c11b73e5e68059ca8334f73f6dc70805df5c01f5112cc20d147b640c4f52fd,30c0df9856e41df5c927bceaf854572d24fb209861c6708cc43afdf2762d6890,2021-03-17 17:10:00,2021-04-21 02:00:00,2021-03-17 18:10:00,2021-04-21 03:00:00,4950
pleia_energy,1,0,fit,29719,1,31e1d93f3da94cb1b75691d4904ef23bd7e238661366d8119e4c0bb2c28f44ec,68c90f874668ebca5bbaf05538f53abe0562025c3388ad9461c60bc8b5eb2850,2021-01-07 23:50:00,2021-08-02 08:50:00,2021-01-08 00:00:00,2021-08-02 09:00:00,29719
pleia_energy,1,0,calibration,9907,1,f0f8b451dfb574d144f74d9b8f12760a1e9f5f23be72da1c5af27a0ab50e441e,3dd3917fd4f804e5ed72875acf3ce799c957037a52e6c13f464f388961d3e24b,2021-08-02 09:10:00,2021-10-10 04:10:00,2021-08-02 09:20:00,2021-10-10 04:20:00,9907
pleia_energy,1,0,test,9909,1,476e7318dbf374e67575f39312f24c0e0b1fa6742e837eb8e7680478b99ee1bc,c909e0cb4a6b6e2c2af495738d0122514e18f2f26115444fda4faabfbc6108de,2021-10-10 04:30:00,2021-12-17 23:50:00,2021-10-10 04:40:00,2021-12-18 00:00:00,9909
pleia_energy,1,0,inner0_train,9905,1,ff5a24fc296198bacaed612579aee609eb3332a932e4804c4d250626cb5df73d,2e07412705aab7aaa5cca6b3ce44ef6690e196223600f9aebdc23c0ce6b5d149,2021-01-07 23:50:00,2021-03-17 18:30:00,2021-01-08 00:00:00,2021-03-17 18:40:00,9905
pleia_energy,1,0,inner0_validation,9905,1,f3adb9ee1472bb470eac7d09ddbdf059fe31d8ba648d4854f71546b1de3be603,f5de185114330c4970f032443939a3b808d9cd96433b77488bc7ab14c43fc75d,2021-03-17 18:50:00,2021-05-25 13:30:00,2021-03-17 19:00:00,2021-05-25 13:40:00,9905
pleia_energy,1,0,inner1_train,19810,1,2b303dcfb933e55a9fa1727f25f96afe96a6f91bd6fafb2fa396e1cd5366d6d2,09b6dcd24317bee412204bb35640195c356ce2dfe45a03cd27747a7d6cf0da20,2021-01-07 23:50:00,2021-05-25 13:30:00,2021-01-08 00:00:00,2021-05-25 13:40:00,19810
pleia_energy,1,0,inner1_validation,9907,1,f2e7dc07a31bdb54b47bb87097648f15d8253587aa49f70b88c4e5b95170a99e,bacc8c815449e0066facbb33f68960b7f005abd0b787695d2c96495935fe8b75,2021-05-25 13:50:00,2021-08-02 08:50:00,2021-05-25 14:00:00,2021-08-02 09:00:00,9907
pleia_energy,1,1,fit,22289,1,f1d706efa5c2655d6ef348d25bc102c124583aaffe33d5a6b50fc2b67ff872f2,bcbbf2cf0109e63d883b1e7f00148b1048222da09af8987b46eb51812686881d,2021-01-07 23:50:00,2021-06-11 18:30:00,2021-01-08 00:00:00,2021-06-11 18:40:00,22289
pleia_energy,1,1,calibration,7430,1,9c360aca5b71da423ffaf9138f7f64d749447e9d8487e7c6abee5f77833d1e98,83e1d1d113aed5cd5f5b6764cdaf231509db9f5731d2d11071178cb385d67a8d,2021-06-11 18:50:00,2021-08-02 09:00:00,2021-06-11 19:00:00,2021-08-02 09:10:00,7430
pleia_energy,1,1,test,9907,1,42d0c4713c5ecaaa74c82362a9855bbff73541096b246a9001cff04c23ca9dac,8dbd6369c7ccb0ea568b294c99ecb4a95c63380b65fe3eb8c53f8c9ce440f4b0,2021-08-02 09:20:00,2021-10-10 04:20:00,2021-08-02 09:30:00,2021-10-10 04:30:00,9907
pleia_energy,1,1,inner0_train,7428,1,6f633f61610a13b2ace35834309ad46f4537dafcfad012aa586471a53703240f,3a841433079323ce3e585e7032e71cd14cea9bb6165a67d1b34fd2c88708f1e7,2021-01-07 23:50:00,2021-02-28 13:40:00,2021-01-08 00:00:00,2021-02-28 13:50:00,7428
pleia_energy,1,1,inner0_validation,7429,1,211380c3ef27978932fafccf20adcda8671378292a1e7547da8ee3ce0395e396,b9a19153f37d930cade6e936e5981bbffe284415f383ae8ab72692d19f4a8fe1,2021-02-28 14:00:00,2021-04-21 04:00:00,2021-02-28 14:10:00,2021-04-21 04:10:00,7429
pleia_energy,1,1,inner1_train,14857,1,1cc900f6721fe5f10411f4947fb952dcae571e1380598210c6cbf50cc66e5a52,34ca3f6708754d0eec9b18c70af1583255a777c70b2711caa0b3c7a6c81af203,2021-01-07 23:50:00,2021-04-21 04:00:00,2021-01-08 00:00:00,2021-04-21 04:10:00,14857
pleia_energy,1,1,inner1_validation,7430,1,d358e2c75989f542a561267493ebd2ba87d7f0b3632200291345cd95802720b4,54393c2a2ea6919beaf1860459cfc2cfaa3108543afdb7e9111bbc387544185b,2021-04-21 04:20:00,2021-06-11 18:30:00,2021-04-21 04:30:00,2021-06-11 18:40:00,7430
pleia_energy,1,2,fit,14858,1,44caea14eb9235d38ecc221b7d59fdc2f8f54bff0f52fbbd9e0bb1b805ca2387,24ce73785501ff4786fb0ae996364f8e145b4b21700a3a571554a5938dd70ade,2021-01-07 23:50:00,2021-04-21 04:00:00,2021-01-08 00:00:00,2021-04-21 04:10:00,14858
pleia_energy,1,2,calibration,4953,1,05d6c30f8c3813efdcab97c9bdab0eee81ce669af9af5b8b70b88518c07f2ca8,f15ad2a2ec27d37ae1857a3e23c7c43a238d7f5a9db3b667111c380b16382500,2021-04-21 04:30:00,2021-05-25 13:50:00,2021-04-21 04:40:00,2021-05-25 14:00:00,4953
pleia_energy,1,2,test,9907,1,b6bdcea0efeca5c07185bc1f75980e8a2570387a5c08e31f9cd301cf38cb60bd,99d72f4e202d73a2f0741156b0869793469cfbd9485f853689fa883bce87daa3,2021-05-25 14:10:00,2021-08-02 09:10:00,2021-05-25 14:20:00,2021-08-02 09:20:00,9907
pleia_energy,1,2,inner0_train,4951,1,0388e109290a61d05fa9d59bbd9c237bab2a32267e29b1fb8a9d86b58d147f6d,70cade1f008e511232829b472a3b7c67bc84c109140470714270e792d5c7e97b,2021-01-07 23:50:00,2021-02-11 08:50:00,2021-01-08 00:00:00,2021-02-11 09:00:00,4951
pleia_energy,1,2,inner0_validation,4952,1,d9b8de7f361f4bdbe04542b9c243a2685ce657a01202469acaf8acd43c1c7106,9381f3eb0d221051813de2df0d6f8b60e2bc3ec108c925e0eb875f7a6e607493,2021-02-11 09:10:00,2021-03-17 18:20:00,2021-02-11 09:20:00,2021-03-17 18:30:00,4952
pleia_energy,1,2,inner1_train,9903,1,ce74106a5bae27e1e344fdc38942436bf694eabfb98ddbe63b832a5414090828,98d395a3458442f6b33b72140be4827f7cc87caf92ea1fa3046b332b25d90001,2021-01-07 23:50:00,2021-03-17 18:20:00,2021-01-08 00:00:00,2021-03-17 18:30:00,9903
pleia_energy,1,2,inner1_validation,4953,1,36a56bf1ec8357c98060da403a08ce064b57ba57997bc7c82896591862424bbd,ff9099d61e16e3b26aa2737196df355bb32d37e67b948e5e9e55852fa0e92a33,2021-03-17 18:40:00,2021-04-21 04:00:00,2021-03-17 18:50:00,2021-04-21 04:10:00,4953
pleia_energy,3,0,fit,29715,1,15ffb953aff9e91e8a00af7478b500c69c35709363a2965be60fccf96bf297f6,39ca5bd3da313b5f7f3e0db099acab00d2286d1f8919f18fc3dc39bdcb16fed4,2021-01-07 23:30:00,2021-08-02 07:50:00,2021-01-08 00:00:00,2021-08-02 08:20:00,29715
pleia_energy,3,0,calibration,9906,1,c63b5f51a36f297c5d6574bffa55167d7725cbb35f8d735f8451a5f8ed9fc672,5d229b3f4b3595afe0fde05156e42acff5a74080db52de4e07f0625c5eff7b8c,2021-08-02 08:40:00,2021-10-10 03:30:00,2021-08-02 09:10:00,2021-10-10 04:00:00,9906
pleia_energy,3,0,test,9909,1,ae5506e6b646c1fa25ed2290b0ef64c2f71b595bb6b134f88e76887f8fbc41af,f8755b48c1dfd559293d513d5f06c64d4730f70517ddda25381528148309cb84,2021-10-10 04:10:00,2021-12-17 23:30:00,2021-10-10 04:40:00,2021-12-18 00:00:00,9909
