dataset,outer_fold,role,n,groups,origin_min,origin_max,target_min,target_max,asset_days,membership_hash
rico,1,inner0_selection,5083,23,2023-08-05 03:15:00,2023-08-09 06:55:00,2023-08-05 03:20:00,2023-08-09 07:00:00,3.529861111111111,5e2397aaa1f18ea46e0decc767040ee6295c754ca18d4057a03802aa2189fb82
rico,1,inner1_train,10166,46,2023-07-26 15:15:00,2023-08-05 02:55:00,2023-07-26 15:20:00,2023-08-05 03:00:00,7.059722222222222,ece5e05e9fbade69920f1e48ebd90c706847070862054457a8679df14e7e159e
rico,1,inner1_calibration,5083,23,2023-08-05 03:15:00,2023-08-09 06:55:00,2023-08-05 03:20:00,2023-08-09 07:00:00,3.529861111111111,5e2397aaa1f18ea46e0decc767040ee6295c754ca18d4057a03802aa2189fb82
rico,1,inner1_selection,5083,23,2023-08-09 07:15:00,2024-01-30 02:55:00,2023-08-09 07:20:00,2024-01-30 03:00:00,3.529861111111111,7020a6a9b6ddbc55a56ce785c17a09b3c63c496fadf468f2e32a39069c204671
rico,2,B0,3315,15,2023-07-26 15:15:00,2023-07-29 10:55:00,2023-07-26 15:20:00,2023-07-29 11:00:00,2.3020833333333335,6f426564eb8ffafd388dac99b06dbf3970ec5f13b77467391d7dbaf637748a40
rico,2,B1,3315,15,2023-07-29 19:15:00,2023-08-02 02:55:00,2023-07-29 19:20:00,2023-08-02 03:00:00,2.3020833333333335,04dd6c0082ec3079bc6456e76b223de3bcafd6b758e5a5b37557696aa12f732f
rico,2,B2,3315,15,2023-08-02 03:15:00,2023-08-04 22:55:00,2023-08-02 03:20:00,2023-08-04 23:00:00,2.3020833333333335,b7993153ab0a9f54d9a970dff4bebfae0c3a6acde5cb8550e3553387cdd80a5a
rico,2,B3,3536,16,2023-08-04 23:15:00,2023-08-07 22:55:00,2023-08-04 23:20:00,2023-08-07 23:00:00,2.4555555555555557,228f293f6343902d50d4218bee347205d2b95fd91e7760c60b80eb79701a0b41
rico,2,final_fit,13481,61,2023-07-26 15:15:00,2023-08-07 22:55:00,2023-07-26 15:20:00,2023-08-07 23:00:00,9.361805555555556,fa6b533ac5de010dc3b3a8a2d3a5c4276bb5e478d2de6f718a460c22e6e7dbeb
rico,2,final_calibration,4641,21,2023-08-07 23:15:00,2023-08-12 02:55:00,2023-08-07 23:20:00,2023-08-12 03:00:00,3.222916666666667,a94697e12f60a20f69757ed4aded6b0ddf3e7e6d0d9f9b381d303655b8aea336
rico,2,outer_test,9061,41,2023-08-12 07:15:00,2024-02-04 10:55:00,2023-08-12 07:20:00,2024-02-04 11:00:00,6.292361111111111,e630af0dbe714f37eded677cfaff494991abb8543344c3c8b217900d19b388bf
rico,2,inner0_train,3315,15,2023-07-26 15:15:00,2023-07-29 10:55:00,2023-07-26 15:20:00,2023-07-29 11:00:00,2.3020833333333335,6f426564eb8ffafd388dac99b06dbf3970ec5f13b77467391d7dbaf637748a40
rico,2,inner0_calibration,3315,15,2023-07-29 19:15:00,2023-08-02 02:55:00,2023-07-29 19:20:00,2023-08-02 03:00:00,2.3020833333333335,04dd6c0082ec3079bc6456e76b223de3bcafd6b758e5a5b37557696aa12f732f
rico,2,inner0_selection,3315,15,2023-08-02 03:15:00,2023-08-04 22:55:00,2023-08-02 03:20:00,2023-08-04 23:00:00,2.3020833333333335,b7993153ab0a9f54d9a970dff4bebfae0c3a6acde5cb8550e3553387cdd80a5a
rico,2,inner1_train,6630,30,2023-07-26 15:15:00,2023-08-02 02:55:00,2023-07-26 15:20:00,2023-08-02 03:00:00,4.604166666666667,6287d5f1f23474cc1f932d7d08cbb87f93049f5a8c436797e9bb0ea6e42098ac
rico,2,inner1_calibration,3315,15,2023-08-02 03:15:00,2023-08-04 22:55:00,2023-08-02 03:20:00,2023-08-04 23:00:00,2.3020833333333335,b7993153ab0a9f54d9a970dff4bebfae0c3a6acde5cb8550e3553387cdd80a5a
rico,2,inner1_selection,3536,16,2023-08-04 23:15:00,2023-08-07 22:55:00,2023-08-04 23:20:00,2023-08-07 23:00:00,2.4555555555555557,228f293f6343902d50d4218bee347205d2b95fd91e7760c60b80eb79701a0b41
