part,bytes,sha256,members,uncompressed_bytes
core.zip,22358337,4f8786515baff3c93b54da7102c2d121ad5b02e5c2951426b0ae9affb0c2ce19,85,45447636
contexts_01_08.zip,61307920,f3a59e475297f4c479b50ba6de990e31a31fa79d3d5ffbe57ba3ebc89231f3ce,14837,59192563
contexts_09_16.zip,62766494,c7fdb4c775644a6c24957b2c992c5768a47abeaa92f5a7e4169cb503e6781949,15112,60608031
contexts_17_24.zip,62002557,f9e2df22897c8b93b46b817f2a580cc5fa88f7d832428fe0f371ca93fe4ddc90,14947,59877284
contexts_25_32.zip,62351396,82ded1fe695893b526bb7a2082398b7a34367309a16798a9ddc08d754235f7b0,15002,60211300
contexts_33_40.zip,63068546,711e66b62376f49e17d7027bacd33f83c6d82b077af57830e219cbfe63510293,15167,60908226
contexts_41_48.zip,62032086,663b236c28ce79c4d3f0d673370e54130763ec6ef331c9f33ac3147388378fff,14947,59902814
contexts_49_56.zip,60966385,7062f5b0fdd57e8bc0655553bbe78c17e5907457f20fa9a18558353b47bd95c1,14727,58868857
contexts_57_64.zip,61851009,906f5d4359b8401f4bcbea046bc7d8dedda7320687df4ceefd40c1530c52e24f,14947,59725970
contexts_65_68.zip,30616385,ad6dcf8bf6a280c02b4d6e240ab2de61fc6e38dc9ac8fccac8f0e0f9a916e2e7,7391,29560805
