control_a,control_b,definition,rule_id,channel,point_difference,status,valid_draws,lower,upper,draw_hash
quantile_static,cqr_rolling,A minus B,60min_4of6,combined,-0.049699779327694815,supported,2000,-0.18021560198153333,0.05808572289018498,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,60min_4of6,numerical_only,0.08204774447092267,supported,2000,-0.021690241425509474,0.16878546444866951,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,single_sample,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,single_sample,combined,-0.2773486536081012,supported,2000,-0.4316620236470643,-0.14322116640394994,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,cqr_rolling,A minus B,single_sample,numerical_only,0.12534291458309477,supported,2000,0.034014516824118664,0.2037654764064473,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,180min_3of18,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,180min_3of18,combined,-0.42358172827859253,supported,2000,-0.5333016155020363,-0.34336857325902953,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,180min_3of18,numerical_only,-0.26485479412400903,supported,2000,-0.3571272760882808,-0.1922607189082462,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,30min_3of3,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,30min_3of3,combined,0.13331070828720845,supported,2000,0.010106467381970618,0.2510648781195089,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,30min_3of3,numerical_only,0.427217470375561,supported,2000,0.37628968236489385,0.4887318853113742,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,360min_4of36,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,360min_4of36,combined,-0.3159859498633976,supported,2000,-0.40567307560556265,-0.2559378378727864,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,360min_4of36,numerical_only,-0.19408889853800051,supported,2000,-0.26768875286084,-0.14134698682830377,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,60min_4of6,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,60min_4of6,combined,0.07281062773909039,supported,2000,-0.027609732744852566,0.1698703730504058,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,60min_4of6,numerical_only,0.2319824141532018,supported,2000,0.16034310360637588,0.30744937650640675,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,single_sample,availability_only,0.0,unavailable_valid_draw_or_degenerate,2000,,,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,single_sample,combined,-0.49668539382008486,supported,2000,-0.6634603669105162,-0.3563494012989813,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
quantile_static,persistence_static,A minus B,single_sample,numerical_only,-0.1418744330957561,supported,2000,-0.22260875941285616,-0.07996810494889967,044acd76e2c01d5abd437cb5c12e9744c158d3ec3e7e7f13be94e3452fc11bae
